TGF	LPS	Cholesterol	Fructose	Background	NPC
NAFT18012_P2A5_D14_65_S16	TRUE	FALSE	FALSE	FALSE	fat	high
NAFT18012_P2B3_D14_69_S19	FALSE	FALSE	FALSE	TRUE	lean	high
NAFT18012_P3A1_D14_73_S22	TRUE	TRUE	FALSE	FALSE	lean	high
NAFT18012_P3A5_D14_77_S2	TRUE	TRUE	FALSE	FALSE	fat	high
NAFT18012_P3B3_D14_81_S5	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18013_P1B1_D14_07_S1	FALSE	TRUE	FALSE	TRUE	lean	high
NAFT18013_P1B5_D14_11_S3	FALSE	TRUE	FALSE	TRUE	fat	high
NAFT18013_P2A3_D14_15_S6	FALSE	FALSE	TRUE	TRUE	lean	high
NAFT18013_P2B1_D14_19_S9	TRUE	FALSE	FALSE	TRUE	lean	high
NAFT18013_P2B5_D14_23_S12	TRUE	FALSE	FALSE	TRUE	fat	high
NAFT18013_P3A3_D14_27_S15	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18013_P3B1_D14_31_S18	FALSE	TRUE	FALSE	TRUE	lean	low
NAFT18013_P3B5_D14_35_S21	FALSE	TRUE	FALSE	TRUE	fat	low
NAFT18013_P4B1_D14_43_S4	TRUE	FALSE	FALSE	TRUE	lean	low
NAFT18013_P4B5_D14_47_S7	TRUE	FALSE	FALSE	TRUE	fat	low
NAFT18014_P1B1_D14_91_S8	FALSE	TRUE	TRUE	FALSE	lean	high
NAFT18014_P1B5_D14_95_S11	FALSE	TRUE	TRUE	FALSE	fat	high
NAFT18014_P2A3_D14_99_S14	TRUE	FALSE	TRUE	FALSE	lean	high
NAFT18014_P2B1_D14_103_S17	FALSE	FALSE	TRUE	FALSE	lean	high
NAFT18014_P2B5_D14_107_S20	FALSE	FALSE	TRUE	FALSE	fat	high
NAFT18014_P3A3_D14_111_S23	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18012_P1B4_D14_58_S11	FALSE	TRUE	FALSE	FALSE	fat	high
NAFT18012_P2A2_D14_62_S14	TRUE	FALSE	FALSE	FALSE	lean	high
NAFT18012_P2A6_D14_66_S17	TRUE	FALSE	FALSE	FALSE	fat	high
NAFT18012_P2B4_D14_70_S20	FALSE	FALSE	FALSE	TRUE	fat	high
NAFT18012_P3A2_D14_74_S23	TRUE	TRUE	FALSE	FALSE	lean	high
NAFT18012_P3A6_D14_78_S3	TRUE	TRUE	FALSE	FALSE	fat	high
NAFT18012_P3B4_D14_82_S6	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P1B2_D14_08_S1	FALSE	TRUE	FALSE	TRUE	lean	high
NAFT18013_P1B6_D14_12_S4	FALSE	TRUE	FALSE	TRUE	fat	high
NAFT18013_P2A4_D14_16_S7	FALSE	FALSE	TRUE	TRUE	fat	high
NAFT18013_P2B2_D14_20_S10	TRUE	FALSE	FALSE	TRUE	lean	high
NAFT18013_P2B6_D14_24_S13	TRUE	FALSE	FALSE	TRUE	fat	high
NAFT18013_P3A4_D14_28_S16	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P3B2_D14_32_S19	FALSE	TRUE	FALSE	TRUE	lean	low
NAFT18013_P3B6_D14_36_S22	FALSE	TRUE	FALSE	TRUE	fat	low
NAFT18013_P4A4_D14_40_S2	FALSE	FALSE	TRUE	TRUE	fat	low
NAFT18013_P4B2_D14_44_S5	TRUE	FALSE	FALSE	TRUE	lean	low
NAFT18013_P4B6_D14_48_S8	TRUE	FALSE	FALSE	TRUE	fat	low
NAFT18014_P1B2_D14_92_S9	FALSE	TRUE	TRUE	FALSE	lean	high
NAFT18014_P1B6_D14_96_S12	FALSE	TRUE	TRUE	FALSE	fat	high
NAFT18014_P2A4_D14_100_S15	TRUE	FALSE	TRUE	FALSE	fat	high
NAFT18014_P2B2_D14_104_S18	FALSE	FALSE	TRUE	FALSE	lean	high
NAFT18014_P2B6_D14_108_S21	FALSE	FALSE	TRUE	FALSE	fat	high
NAFT18014_P3A4_D14_112_S24	FALSE	FALSE	FALSE	FALSE	fat	low
