Node1	Sign	Node2	Weight
NR1D1	-1	ARNTL	100
E2F4	-1	RBL1	100
MAPK9	1	ATF2	100
MAPK9	1	MYC	100
MAPK9	1	TP53	100
MAPK9	1	JUN	100
MAPK9	1	H2AX	100
MAPK9	1	ELK1	100
MAPK9	1	IRS1	100
GSK3B	-1	PHLPP1	100
GSK3B	-1	CLASP2	100
GSK3B	-1	SNAI1	100
GSK3B	-1	GLI2	100
GSK3B	-1	NEFH	100
GSK3B	-1	CCND2	100
GSK3B	-1	CCND3	100
GSK3B	-1	CDC25A	100
GSK3B	-1	SREBF1	100
GSK3B	-1	CDKN1A	100
GSK3B	-1	MAP1B	100
GSK3B	-1	PSEN1	100
GSK3B	-1	EIF2B5	100
GSK3B	-1	MCL1	100
GSK3B	-1	EIF4EBP1	100
GSK3B	-1	KLF5	100
GSK3B	-1	HNRNPD	100
GSK3B	-1	RBM38	100
GSK3B	-1	GPHN	100
BCL3	1	NFKB2	100
BCL3	1	NFKB1	100
CDK2	1	FOXO1	100
FOXO3	1	BCL2L11	100
CTNNB1	1	FOXO1	100
CSNK2A1	1	PDCD5	100
CSNK2A1	1	HDAC3	100
CSNK2A1	1	VAMP4	100
CSNK2A1	1	ESR1	100
CSNK2A1	1	TP53	100
CSNK2A1	1	VDR	100
CSNK2A1	1	ACE	100
CSNK2A1	1	IGFBP3	100
CSNK2A1	1	LIG1	100
CSNK2A1	1	EIF2S2	100
CSNK2A1	1	NFKBIA	100
CSNK2A1	1	APEX1	100
CSNK2A1	1	CTNNA1	100
CSNK2A1	1	MYH9	100
CSNK2A1	1	WAS	100
CSNK2A1	1	BID	100
CSNK2A1	1	HDAC1	100
CSNK2A1	1	CDC37	100
CSNK2A1	1	STX1A	100
CTNNB1	1	FOXO3	100
FLI1	1	GATA1	100
RELA	1	JUN	100
RELA	1	EGR1	100
PRKCQ	1	WIPF1	100
PRKCQ	1	FOSL1	100
PRKCQ	1	MSN	100
PRKCQ	1	RASGRP3	100
PRKCD	-1	C5AR1	100
PRKCD	-1	LIMK2	100
PRKCD	-1	FLI1	100
PRKCD	-1	TAGLN	100
PRKCD	-1	EP300	100
PRKCD	-1	FSCN1	100
SMAD3	1	EP300	100
PTPRJ	-1	RET	100
PTPRJ	-1	MET	100
PTPRJ	-1	PDGFRB	100
PTPRJ	-1	MAPK3	100
GSK3B	-1	CTNNB1	100
MAPK3	-1	BCL2L11	100
RPS6KA1	-1	IRS1	100
RPS6KA1	-1	VASP	100
RPS6KA1	-1	STK11	100
ESR1	1	NCOA1	100
FOXO3	1	FASLG	100
STAT3	1	SYK	100
FOXO3	1	CDKN1B	100
FOXO3	1	GADD45A	100
ABL1	1	ABI2	100
HSPA5	-1	EIF2AK3	100
HSPA5	-1	ERN1	100
HSPA5	-1	ATF6	100
CSNK2A1	1	OCLN	100
CDK2	1	NCOA1	100
ABL1	1	MET	100
JAK2	1	GHR	100
JAK2	1	GRB2	100
CDK2	1	BARD1	100
JAK2	1	LEPR	100
CSNK2A1	1	BIK	100
MAPK9	1	FOXO4	100
MAPK14	1	AR	100
CREB1	1	CREBBP	100
DUSP10	-1	MAPK9	100
CDK2	1	MYC	100
STAT6	1	IL4R	100
SUMO1	-1	HIPK2	100
PRKCD	-1	MET	100
JAK2	1	PIK3R1	100
CREBZF	1	ATF4	100
ABL1	1	PRKD2	100
PRKCQ	1	CHUK	100
JAK2	1	H3C8	100
HIF1A	1	BNIP3	100
CDK2	1	H1_5	100
MAPK14	1	RELA	100
MAPK9	1	FOS	100
MAPK9	1	NR3C1	100
CTNNB1	1	PIK3R1	100
HSP90AA1	-1	TP53	100
CTNNB1	1	TCF7L1	100
CTNND1	-1	ZBTB33	100
HSP90AA1	-1	HIF1A	100
CREB1	1	TP53	100
SP3	1	SP1	100
HIF1A	1	VEGFA	100
STAT3	1	TWIST1	100
TFDP1	-1	RBL1	100
HIPK2	1	NLK	100
STAT3	1	STAT1	100
SP1	1	E2F1	100
TP73	1	TP63	100
CTNNB1	1	EP300	100
ATF4	1	DDIT3	100
SMAD3	1	SMAD2	100
SMAD3	1	ZEB2	100
SMAD3	1	CREBBP	100
CTNNB1	1	CCND1	100
GSK3B	-1	AR	100
CCNH	-1	GTF2H4	100
CTNNB1	1	MYC	100
CTNNB1	1	TCF7L2	100
ESR1	1	IGF1R	100
PRKCQ	1	CARD11	100
CCNH	-1	CDK2	100
TAL1	-1	TCF3	100
STAT5A	1	EPOR	100
CSNK2A1	1	DVL1	100
HIF1A	1	PGK1	100
PRKCD	-1	IGF1R	100
JAK2	1	STAT2	100
Perturbation	1	A2M	100
Perturbation	1	ABRAXAS1	100
Perturbation	1	ACD	100
Perturbation	1	ACVR1C	100
Perturbation	1	ADAM10	100
Perturbation	1	ADAM9	100
Perturbation	1	ADAMTS4	100
Perturbation	1	ADIPOQ	100
Perturbation	1	ADM	100
Perturbation	1	ADM2	100
Perturbation	1	ADORA1	100
Perturbation	1	ADRA2A	100
Perturbation	1	ADRM1	100
Perturbation	1	AGRN	100
Perturbation	1	AGRP	100
Perturbation	1	AHSP	100
Perturbation	1	AIP	100
Perturbation	1	AKAP5	100
Perturbation	1	AMH	100
Perturbation	1	ANGPT1	100
Perturbation	1	ANGPT2	100
Perturbation	1	ANGPT4	100
Perturbation	1	ANGPTL1	100
Perturbation	1	ANP32A	100
Perturbation	1	AP2M1	100
Perturbation	1	AP2S1	100
Perturbation	1	APBA1	100
Perturbation	1	APC_AXIN1_GSK3B	100
Perturbation	1	APC2	100
Perturbation	1	APELA	100
Perturbation	1	APLF	100
Perturbation	1	APLN	100
Perturbation	1	APOE	100
Perturbation	1	AREG	100
Perturbation	1	ARFGAP1	100
Perturbation	1	ARHGAP1	100
Perturbation	1	ARHGAP26	100
Perturbation	1	ARHGEF28	100
Perturbation	1	ARHGEF3	100
Perturbation	1	ARTN	100
Perturbation	1	ARVCF	100
Perturbation	1	ASAP2	100
Perturbation	1	ASF1B	100
Perturbation	1	ASIP	100
Perturbation	1	ATG101	100
Perturbation	1	ATG14	100
Perturbation	1	ATG4B	100
Perturbation	1	AVP	100
Perturbation	1	B2M	100
Perturbation	1	BACE2	100
Perturbation	1	BAG1	100
Perturbation	1	BAG4	100
Perturbation	1	BAG6	100
Perturbation	1	BAZ1B	100
Perturbation	1	BBS4	100
Perturbation	1	BCCIP	100
Perturbation	1	BCKDK	100
Perturbation	1	BCL3	100
Perturbation	1	BCOR	100
Perturbation	1	BDNF	100
Perturbation	1	BLK	100
Perturbation	1	BMI1	100
Perturbation	1	BMP10	100
Perturbation	1	BMP15	100
Perturbation	1	BMP6	100
Perturbation	1	BMP7	100
Perturbation	1	BNIP2	100
Perturbation	1	BRIP1	100
Perturbation	1	BRSK1	100
Perturbation	1	BTC	100
Perturbation	1	BTG2	100
Perturbation	1	BTRC	100
Perturbation	1	C5	100
Perturbation	1	C8A	100
Perturbation	1	CALCA	100
Perturbation	1	CALCB	100
Perturbation	1	CAMK1G	100
Perturbation	1	CAMP	100
Perturbation	1	CAND1	100
Perturbation	1	CAPNS1	100
Perturbation	1	CARD17	100
Perturbation	1	CARD18	100
Perturbation	1	CAST	100
Perturbation	1	CBFB	100
Perturbation	1	CBLL1	100
Perturbation	1	CBX3	100
Perturbation	1	CBY1	100
Perturbation	1	CCK	100
Perturbation	1	CCL1	100
Perturbation	1	CCL11	100
Perturbation	1	CCL13	100
Perturbation	1	CCL14	100
Perturbation	1	CCL15	100
Perturbation	1	CCL16	100
Perturbation	1	CCL17	100
Perturbation	1	CCL18	100
Perturbation	1	CCL19	100
Perturbation	1	CCL2	100
Perturbation	1	CCL20	100
Perturbation	1	CCL21	100
Perturbation	1	CCL22	100
Perturbation	1	CCL23	100
Perturbation	1	CCL24	100
Perturbation	1	CCL25	100
Perturbation	1	CCL26	100
Perturbation	1	CCL27	100
Perturbation	1	CCL28	100
Perturbation	1	CCL3	100
Perturbation	1	CCL3L1	100
Perturbation	1	CCL4	100
Perturbation	1	CCL5	100
Perturbation	1	CCL7	100
Perturbation	1	CCL8	100
Perturbation	1	CCN3	100
Perturbation	1	CCNA2_CDK2	100
Perturbation	1	CCNH	100
Perturbation	1	CCNY	100
Perturbation	1	CCS	100
Perturbation	1	CD14	100
Perturbation	1	CD22	100
Perturbation	1	CD40LG	100
Perturbation	1	CD46	100
Perturbation	1	CD48	100
Perturbation	1	CD55	100
Perturbation	1	CD58	100
Perturbation	1	CD70	100
Perturbation	1	CD86	100
Perturbation	1	CDC14A	100
Perturbation	1	CDC42SE1	100
Perturbation	1	CDC7	100
Perturbation	1	CDC73	100
Perturbation	1	CDK10	100
Perturbation	1	CDK11B	100
Perturbation	1	CDK12	100
Perturbation	1	CDK19	100
Perturbation	1	CDK20	100
Perturbation	1	CDK8	100
Perturbation	1	CDKN2C	100
Perturbation	1	CDKN2D	100
Perturbation	1	CDKN3	100
Perturbation	1	CENPE	100
Perturbation	1	CFB	100
Perturbation	1	CFHR1	100
Perturbation	1	CFI	100
Perturbation	1	CGA	100
Perturbation	1	CGB8	100
Perturbation	1	CHAMP1	100
Perturbation	1	CHD8	100
Perturbation	1	CHMP1A	100
Perturbation	1	CHN2	100
Perturbation	1	CHRM1	100
Perturbation	1	CHRM2	100
Perturbation	1	CHRM3	100
Perturbation	1	CHRM4	100
Perturbation	1	CHRM5	100
Perturbation	1	CKS1B	100
Perturbation	1	CLCF1	100
Perturbation	1	CLK1	100
Perturbation	1	CLK2	100
Perturbation	1	CLU	100
Perturbation	1	CNKSR1	100
Perturbation	1	CNR1	100
Perturbation	1	CNTF	100
Perturbation	1	COL18A1	100
Perturbation	1	COL1A1	100
Perturbation	1	COL1A2	100
Perturbation	1	COL2A1	100
Perturbation	1	COL4A1	100
Perturbation	1	COL4A2	100
Perturbation	1	COL4A3	100
Perturbation	1	COL4A4	100
Perturbation	1	COL4A6	100
Perturbation	1	COPS5	100
Perturbation	1	CORT	100
Perturbation	1	CPLX1	100
Perturbation	1	CREBZF	100
Perturbation	1	CREM	100
Perturbation	1	CRH	100
Perturbation	1	CRYAA	100
Perturbation	1	CRYAB	100
Perturbation	1	CSF1	100
Perturbation	1	CSF2	100
Perturbation	1	CSF3	100
Perturbation	1	CSNK1A1L	100
Perturbation	1	CSNK1D	100
Perturbation	1	CSNK1G1	100
Perturbation	1	CSNK1G2	100
Perturbation	1	CSNK1G3	100
Perturbation	1	CSNK2A2	100
Perturbation	1	CTDSP1	100
Perturbation	1	CTDSP2	100
Perturbation	1	CTF1	100
Perturbation	1	CTNNA3	100
Perturbation	1	CTNNBIP1	100
Perturbation	1	CTNND2	100
Perturbation	1	CX3CL1	100
Perturbation	1	CXCL1	100
Perturbation	1	CXCL10	100
Perturbation	1	CXCL12	100
Perturbation	1	CXCL13	100
Perturbation	1	CXCL16	100
Perturbation	1	CXCL3	100
Perturbation	1	CXCL5	100
Perturbation	1	CXCL6	100
Perturbation	1	CXCL8	100
Perturbation	1	CXCL9	100
Perturbation	1	CYFIP2	100
Perturbation	1	DACT1	100
Perturbation	1	DBF4	100
Perturbation	1	DCLRE1B	100
Perturbation	1	DCN	100
Perturbation	1	DEF6	100
Perturbation	1	DEFB4B	100
Perturbation	1	DHPS	100
Perturbation	1	DHX58	100
Perturbation	1	DISC1	100
Perturbation	1	DKK1	100
Perturbation	1	DLG1	100
Perturbation	1	DLK1	100
Perturbation	1	DLL3	100
Perturbation	1	DLL4	100
Perturbation	1	DMPK	100
Perturbation	1	DNAJB1	100
Perturbation	1	DNAJC7	100
Perturbation	1	DNMT3L	100
Perturbation	1	DOCK9	100
Perturbation	1	DOK7	100
Perturbation	1	DRD1	100
Perturbation	1	DRD2	100
Perturbation	1	DTL	100
Perturbation	1	DUSP10	100
Perturbation	1	DUSP2	100
Perturbation	1	DUSP22	100
Perturbation	1	DUSP26	100
Perturbation	1	DUSP3	100
Perturbation	1	DUSP4	100
Perturbation	1	DUSP5	100
Perturbation	1	DUSP8	100
Perturbation	1	DYNLL2	100
Perturbation	1	DYRK1A	100
Perturbation	1	DYRK1B	100
Perturbation	1	DYRK2	100
Perturbation	1	E2F6	100
Perturbation	1	E4F1	100
Perturbation	1	ECE1	100
Perturbation	1	EDA	100
Perturbation	1	EDN2	100
Perturbation	1	EDN3	100
Perturbation	1	EEF1B2	100
Perturbation	1	EFNA1	100
Perturbation	1	EFNA2	100
Perturbation	1	EFNA3	100
Perturbation	1	EFNA4	100
Perturbation	1	EFNA5	100
Perturbation	1	EFNB1	100
Perturbation	1	EFNB3	100
Perturbation	1	EGLN2	100
Perturbation	1	EHMT1	100
Perturbation	1	EIF2AK1	100
Perturbation	1	EIF2AK4	100
Perturbation	1	EIF4EBP2	100
Perturbation	1	EIF4EBP3	100
Perturbation	1	EMSY	100
Perturbation	1	EPGN	100
Perturbation	1	ERC1	100
Perturbation	1	ERCC8	100
Perturbation	1	EREG	100
Perturbation	1	ETFB	100
Perturbation	1	EYA3	100
Perturbation	1	F9	100
Perturbation	1	FAAP24	100
Perturbation	1	FBXW11	100
Perturbation	1	FCER1G	100
Perturbation	1	FCGR3A	100
Perturbation	1	FER	100
Perturbation	1	FERMT2	100
Perturbation	1	FES	100
Perturbation	1	FGD1	100
Perturbation	1	FGF1	100
Perturbation	1	FGF10	100
Perturbation	1	FGF14	100
Perturbation	1	FGF17	100
Perturbation	1	FGF18	100
Perturbation	1	FGF19	100
Perturbation	1	FGF20	100
Perturbation	1	FGF21	100
Perturbation	1	FGF22	100
Perturbation	1	FGF23	100
Perturbation	1	FGF3	100
Perturbation	1	FGF4	100
Perturbation	1	FGF5	100
Perturbation	1	FGF6	100
Perturbation	1	FGF7	100
Perturbation	1	FGF8	100
Perturbation	1	FGF9	100
Perturbation	1	FHL1	100
Perturbation	1	FLT3LG	100
Perturbation	1	FOXA1	100
Perturbation	1	FOXH1	100
Perturbation	1	FRK	100
Perturbation	1	FSHB	100
Perturbation	1	FST	100
Perturbation	1	FYCO1	100
Perturbation	1	GADD45B	100
Perturbation	1	GAL	100
Perturbation	1	GALP	100
Perturbation	1	GAS1	100
Perturbation	1	GAS6	100
Perturbation	1	GAST	100
Perturbation	1	GATA2	100
Perturbation	1	GCG	100
Perturbation	1	GCKR	100
Perturbation	1	GDF11	100
Perturbation	1	GDF15	100
Perturbation	1	GDF2	100
Perturbation	1	GDF5	100
Perturbation	1	GDF6	100
Perturbation	1	GDF9	100
Perturbation	1	GDNF	100
Perturbation	1	GH1	100
Perturbation	1	GH2	100
Perturbation	1	GHRH	100
Perturbation	1	GHRL	100
Perturbation	1	GIP	100
Perturbation	1	GNGT1	100
Perturbation	1	GNRH1	100
Perturbation	1	GNRH2	100
Perturbation	1	GOPC	100
Perturbation	1	GPI	100
Perturbation	1	GPSM3	100
Perturbation	1	GRK1	100
Perturbation	1	GRK3	100
Perturbation	1	GRK5	100
Perturbation	1	GRK6	100
Perturbation	1	GRP	100
Perturbation	1	GSTP1	100
Perturbation	1	GTF2A2	100
Perturbation	1	GTF2F2	100
Perturbation	1	GTF2H3	100
Perturbation	1	GUCA2A	100
E2F4	-1	MYBL2	100
Perturbation	1	GZMA	100
Perturbation	1	HACE1	100
Perturbation	1	HAT1	100
Perturbation	1	HBEGF	100
Perturbation	1	HCFC1	100
Perturbation	1	HCRT	100
Perturbation	1	HHAT	100
Perturbation	1	HIF1AN	100
Perturbation	1	HIPK1	100
Perturbation	1	HIPK3	100
Perturbation	1	HJURP	100
Perturbation	1	HLA_A	100
Perturbation	1	HLA_B	100
Perturbation	1	HLA_C	100
Perturbation	1	HLA_F	100
Perturbation	1	HLA_G	100
Perturbation	1	HOXA9	100
Perturbation	1	HP	100
Perturbation	1	HRK	100
Perturbation	1	HSPE1	100
Perturbation	1	HTR1A	100
Perturbation	1	HTR2A	100
Perturbation	1	HUWE1	100
Perturbation	1	ICAM2	100
Perturbation	1	ICAM3	100
Perturbation	1	ICAM4	100
Perturbation	1	ICAM5	100
Perturbation	1	ICOSLG	100
Perturbation	1	ID3	100
Perturbation	1	IDE	100
Perturbation	1	IFNA1	100
Perturbation	1	IFNA2	100
Perturbation	1	IFNB1	100
Perturbation	1	IFNG	100
Perturbation	1	IFNK	100
Perturbation	1	IFNL1	100
Perturbation	1	IFNL2	100
Perturbation	1	IFNL3	100
Perturbation	1	IFNW1	100
Perturbation	1	IGBP1	100
Perturbation	1	IL10	100
Perturbation	1	IL11	100
Perturbation	1	IL12A	100
Perturbation	1	IL13	100
Perturbation	1	IL15	100
Perturbation	1	IL16	100
Perturbation	1	IL17B	100
Perturbation	1	IL17F	100
Perturbation	1	IL18BP	100
Perturbation	1	IL19	100
Perturbation	1	IL1A	100
Perturbation	1	IL1RN	100
Perturbation	1	IL20	100
Perturbation	1	IL21	100
Perturbation	1	IL23A	100
Perturbation	1	IL24	100
Perturbation	1	IL25	100
Perturbation	1	IL26	100
Perturbation	1	IL27	100
Perturbation	1	IL3	100
Perturbation	1	IL31	100
Perturbation	1	IL34	100
Perturbation	1	IL36RN	100
Perturbation	1	IL37	100
Perturbation	1	IL4	100
Perturbation	1	IL5	100
Perturbation	1	IL6	100
Perturbation	1	IL7	100
Perturbation	1	IL9	100
Perturbation	1	ING1	100
Perturbation	1	INHA	100
Perturbation	1	INHBB	100
Perturbation	1	INSIG2	100
Perturbation	1	INSL3	100
Perturbation	1	INSL5	100
Perturbation	1	ITGAL_ITGB2	100
Perturbation	1	ITGB1BP1	100
Perturbation	1	ITGB8	100
Perturbation	1	ITSN1	100
Perturbation	1	JAG2	100
Perturbation	1	KAT2A	100
Perturbation	1	KCNIP3	100
Perturbation	1	KDM5B	100
Perturbation	1	KISS1	100
Perturbation	1	KITLG	100
Perturbation	1	KLF11	100
Perturbation	1	KLKB1	100
Perturbation	1	KNL1	100
Perturbation	1	L1CAM	100
Perturbation	1	LAMA1	100
Perturbation	1	LAMA2	100
Perturbation	1	LAMA3	100
Perturbation	1	LAMA5	100
Perturbation	1	LAMB1	100
Perturbation	1	LAMB2	100
Perturbation	1	LAMB3	100
Perturbation	1	LAMC1	100
Perturbation	1	LAMC2	100
Perturbation	1	LAMTOR3	100
Perturbation	1	LEP	100
Perturbation	1	LHB	100
Perturbation	1	LIF	100
Perturbation	1	LIG3	100
Perturbation	1	LMO1	100
Perturbation	1	LMO2	100
Perturbation	1	LNX1	100
Perturbation	1	LPAR1	100
Perturbation	1	LPAR2	100
Perturbation	1	LPAR3	100
Perturbation	1	LPAR4	100
Perturbation	1	LPAR5	100
Perturbation	1	LRPAP1	100
Perturbation	1	LRRC4B	100
Perturbation	1	LTA	100
Perturbation	1	LTB	100
Perturbation	1	LTF	100
Perturbation	1	MAD2L1BP	100
Perturbation	1	MADCAM1	100
Perturbation	1	MAGEA3	100
Perturbation	1	MAGEC2	100
Perturbation	1	MAGI1	100
Perturbation	1	MAGI2	100
Perturbation	1	MAML3	100
Perturbation	1	MAP3K2	100
Perturbation	1	MAP3K20	100
Perturbation	1	MAP4K2	100
Perturbation	1	MAP4K3	100
Perturbation	1	MAP4K4	100
Perturbation	1	MAP4K5	100
Perturbation	1	MAPK15	100
Perturbation	1	MAPK8IP2	100
Perturbation	1	MAPKAP1	100
Perturbation	1	MATK	100
Perturbation	1	MBL2	100
Perturbation	1	MCF2	100
Perturbation	1	MCF2L	100
Perturbation	1	MCM3AP	100
Perturbation	1	MCPH1	100
Perturbation	1	MDK	100
Perturbation	1	MECOM	100
Perturbation	1	MED14	100
Perturbation	1	MEFV	100
Perturbation	1	MELK	100
Perturbation	1	MFAP2	100
Perturbation	1	MFF	100
Perturbation	1	MFNG	100
Perturbation	1	MIB1	100
Perturbation	1	MICA	100
Perturbation	1	MICB	100
Perturbation	1	MLH1	100
Perturbation	1	MLN	100
Perturbation	1	MMP14	100
Perturbation	1	MMP3	100
Perturbation	1	MNAT1	100
Perturbation	1	MRTFA	100
Perturbation	1	MRTFB	100
Perturbation	1	MSH2	100
Perturbation	1	MST1	100
