name,solution
nU93,0
nU94,0
nU95,0
nU96,0
nU97,0
nU98,0
nU99,0
nU100,0
nU101,0
nU102,0
nU103,0
nU104,0
nU105,0
nU106,0
nU107,0
nU108,0
nU109,0
nU110,0
nU111,0
nU112,0
nU113,0
nU114,0
nU115,0
nU116,0
nU117,0
nU118,0
nU119,0
nU120,0
nU121,0
nU122,0
nU123,0
nU124,0
nU125,0
nU126,0
nU127,0
nU128,0
nU129,0
nU130,0
nU131,0
nU132,0
nU133,0
nU134,0
nU135,0
nU136,0
nU137,0
nU138,0
nU139,0
nU140,0
nU141,0
nU142,0
nU143,0
nU144,0
nU145,0
nU146,0
nU147,0
nU148,0
nU149,0
nU150,0
nU151,0
nU152,0
nU153,1
nU154,0
nU155,0
nU156,0
nU157,0
nU158,0
nU159,0
nU160,0
nU161,0
nU162,0
nU163,0
nU164,0
nU165,0
nU166,0
nU167,0
nU168,0
nU169,0
nU170,0
nU171,1
nU172,0
nU173,0
nU174,0
nU175,0
nU176,0
nU177,0
nU178,0
nU179,0
nU180,0
nU181,0
nU182,0
nU183,0
nU184,0
nU185,0
nU186,0
nU187,0
nU188,0
nU189,0
nU190,0
nU191,0
nU192,0
nU193,0
nU194,0
nU195,0
nU196,0
nU197,0
nU198,0
nU199,0
nU200,0
nU201,0
nU202,0
nU203,0
nU204,0
nU205,0
nU206,0
nU207,0
nU208,0
nU209,0
nU210,0
nU211,1
nU212,0
nU213,0
nU214,0
nU215,0
nU216,0
nU217,0
nU218,0
nU219,0
nU220,0
nU221,0
nU222,0
nU223,0
nU224,0
nU225,0
nU226,0
nU227,0
nU228,0
nU229,0
nU230,0
nU231,0
nU232,0
nU233,0
nU234,0
nU235,0
nU236,0
nU237,0
nU238,0
nU239,0
nU240,0
nU241,0
nU242,0
nU243,0
nU244,0
nU245,0
nU246,0
nU247,0
nU248,0
nU249,0
nU250,0
nU251,0
nU252,0
nU253,0
nU254,0
nU255,0
nU256,0
nU257,0
nU258,0
nU259,0
nU260,0
nU261,0
nU262,0
nU263,0
nU264,0
nU265,0
nU266,0
nU267,1
nU268,0
nU269,0
nU270,0
nU271,0
nU272,0
nU273,0
nU274,0
nU275,1
nU276,0
nU277,0
nU278,0
nU279,0
nU280,0
nU281,0
nU282,0
nU283,1
nU284,0
nU285,0
nU286,0
nU287,0
nU288,0
nU289,1
nU290,1
nU291,1
nU292,0
nU293,0
nU294,0
nU295,0
nU296,0
nU297,0
nU298,0
nU299,0
nU300,0
nU301,0
nU302,0
nU303,0
nU304,0
nU305,0
nU306,0
nU307,0
nU308,0
nU309,0
nU310,0
nU311,0
nU312,0
nU313,0
nU314,0
nU315,0
nU316,0
nU317,0
nU318,0
nU319,0
nU320,0
nU321,0
nU322,0
nU323,0
nU324,0
nU325,0
nU326,0
nU327,1
nU328,0
nU329,0
nU330,0
