Node	ZeroAct	UpAct	DownAct	AvgAct	nodesType
GRK2	100	0	0	0	
RALA	100	0	0	0	
DLGAP1	100	0	0	0	
BIK	100	0	0	0	
CNR1	100	0	0	0	
TRPM6	100	0	0	0	
PIDD1	100	0	0	0	
PICK1	100	0	0	0	
COL1A1	100	0	0	0	
OPRD1	100	0	0	0	
OPRM1	100	0	0	0	
GRIN2A	100	0	0	0	
GRB10	100	0	0	0	
PTMA	100	0	0	0	
ERC1	100	0	0	0	
CSNK2A2	100	0	0	0	
TAB3	100	0	0	0	
RPS6KA1	0	0	100	-100	
MRE11	100	0	0	0	
NFKB2	0	100	0	100	M
FOS	0	100	0	100	M
TOLLIP	100	0	0	0	
CD14	100	0	0	0	
DHX58	100	0	0	0	
TANK	100	0	0	0	
CARD17	100	0	0	0	
NLRP1	100	0	0	0	
NOD1	100	0	0	0	
CASP8AP2	100	0	0	0	
NOD2	100	0	0	0	
TLR2	100	0	0	0	
RIPK3	100	0	0	0	
GRK6	100	0	0	0	
MAGI2	100	0	0	0	
PTPN13	100	0	0	0	
MAPK12	100	0	0	0	
GOPC	100	0	0	0	
ARVCF	100	0	0	0	
CTNND2	100	0	0	0	
MAPK3	0	0	100	-100	
PTPN7	100	0	0	0	
POU2AF1	0	100	0	100	
SRSF7	100	0	0	0	
PDK4	100	0	0	0	
CDKN3	100	0	0	0	
PHKG1	100	0	0	0	
AMOT	100	0	0	0	
SPDYA	100	0	0	0	
LRRK2	100	0	0	0	
THEM4	100	0	0	0	
MAP2K1	100	0	0	0	
ARTN	100	0	0	0	
TTBK1	100	0	0	0	
DAB2IP	100	0	0	0	
BCOR	100	0	0	0	
POGZ	100	0	0	0	
IL34	100	0	0	0	
PHLPP2	100	0	0	0	
STXBP4	100	0	0	0	
PREX2	100	0	0	0	
VWF	100	0	0	0	
MAPK1	100	0	0	0	
ADAMTS13	100	0	0	0	
STRADA	100	0	0	0	
EMSY	100	0	0	0	
TLK2	100	0	0	0	
NOXA1	100	0	0	0	
