,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
NRROS,-0.025390407,-0.012800967,-0.36786914,-0.08142383,-0.35847986,-0.17652662,0.10734073,-0.2206499,-0.23213707,-0.07926644,-0.34385768,-0.45055965,-0.062054038,-0.0494646,-0.40453276,-0.118087456,-0.39514348,-0.21319026,0.0706771,-0.25731352,-0.2688007,-0.115930066,-0.3805213,-0.48722327
CEP19,-0.21712126,-0.32915664,-0.3487911,-0.3659706,-0.21616624,-0.30761248,-0.52333736,-0.37410828,-0.42748424,-0.12590417,0.013729171,-0.6318618,-0.20128371,-0.3133191,-0.33295354,-0.35013306,-0.2003287,-0.29177493,-0.5074998,-0.35827073,-0.4116467,-0.11006662,0.029566716,-0.61602426
KLHL15,0.09878977,0.124604434,0.17430407,0.27055615,0.22075644,0.24001569,0.05098338,-0.21146886,-0.16712147,0.06205416,0.107252315,0.15793724,0.0732659,0.09908057,0.14878021,0.2450323,0.19523259,0.21449183,0.025459519,-0.23699272,-0.19264533,0.0365303,0.08172845,0.13241339
FBXO45,-0.09246052,-0.2509436,-0.06862404,-0.26479676,-0.16767764,-0.3175409,-0.40796947,-0.12121429,-0.5276873,0.2398474,0.12914339,-0.091570124,-0.0139912665,-0.17247435,0.009845212,-0.18632752,-0.08920839,-0.23907167,-0.32950023,-0.04274504,-0.44921806,0.31831667,0.20761263,-0.01310087
GNG5,-0.27468228,-0.3746575,-0.21349162,-0.29771993,-0.34548953,-0.16097721,-0.20645978,-0.31316185,-0.2668602,-0.34306857,-0.07113279,-0.34169552,-0.31463194,-0.41460717,-0.25344127,-0.3376696,-0.38543922,-0.20092689,-0.24640945,-0.3531115,-0.30680984,-0.38301826,-0.11108246,-0.3816452
FAM3C2P,-0.10042578,-0.6493101,0.21494348,-0.103549235,-0.31023473,-0.34989858,-0.30467537,-0.100450434,-1.214517,-0.5099663,-0.41622913,0.10410128,-0.09457059,-0.6434549,0.22079867,-0.09769405,-0.30437955,-0.3440434,-0.2988202,-0.094595246,-1.2086618,-0.5041111,-0.41037396,0.109956466
SLC25A30,0.41176414,-0.008202463,0.45736092,0.10350125,0.3299121,0.16366988,-0.028497329,0.21051456,0.18707895,0.51064706,0.11198901,0.38315034,0.5588921,0.13892546,0.60448885,0.2506292,0.47704002,0.3107978,0.118630596,0.35764247,0.33420688,0.657775,0.25911695,0.53027827
CD34,0.43491274,0.13236092,0.30523196,-0.041214757,0.121865556,0.29249635,0.170483,0.14623046,0.68073803,0.43839186,-0.22160366,0.31184846,0.842821,0.5402692,0.71314025,0.36669353,0.52977383,0.70040464,0.5783913,0.5541388,1.0886463,0.8463001,0.18630463,0.7197567
CTSF,0.26995027,0.5351607,0.6845279,0.5310102,0.7065482,0.36540085,0.60562235,0.8287148,0.6427224,0.21986312,0.29362056,0.7968508,0.21885131,0.48406178,0.63342893,0.47991127,0.6554493,0.3143019,0.5545234,0.77761585,0.5916235,0.16876416,0.2425216,0.74575186
MSRB3,-2.0033245,-2.3984466,-1.8118846,-1.5229586,-2.19304,-2.0932157,-1.1708361,-2.3319743,-2.585132,-2.2279844,-1.644474,-1.5209516,-1.5291905,-1.9243126,-1.3377507,-1.0488245,-1.7189059,-1.6190817,-0.69670206,-1.8578403,-2.110998,-1.7538505,-1.1703401,-1.0468175
LEMD3,-0.31067026,-0.5299407,-0.01507037,-0.24830766,-0.43976018,-0.17454244,-0.370693,-0.48221087,-0.3394111,-0.14724919,-0.119822845,-0.1384273,-0.31925848,-0.5385289,-0.023658585,-0.25689587,-0.4483484,-0.18313065,-0.37928122,-0.4907991,-0.34799933,-0.1558374,-0.12841105,-0.14701551
TLR1,0.73308057,0.57652515,0.30227992,0.633815,0.3038014,0.42519185,-0.013374278,0.51761544,0.038214296,0.94382614,0.2681082,0.62384206,0.683044,0.5264886,0.25224337,0.58377844,0.25376484,0.3751553,-0.063410826,0.4675789,-0.011822253,0.8937896,0.21807164,0.5738055
TLR6,-0.548374,-0.77056825,0.3079917,-0.70206916,-0.32452336,-1.1514112,-0.56150407,-0.755786,-0.63581824,0.42609033,-0.46537232,-0.55766815,-0.6018847,-0.824079,0.254481,-0.7555799,-0.37803409,-1.204922,-0.6150148,-0.8092967,-0.68932897,0.3725796,-0.51888305,-0.6111789
FAM174A,-0.13655254,-0.27304506,-0.33627078,-0.29503423,-0.38531104,-0.12738547,-0.27377042,-0.23960762,-0.047969684,-0.39016432,-0.09636627,-0.27313206,-0.18357122,-0.32006374,-0.38328946,-0.3420529,-0.4323297,-0.17440414,-0.3207891,-0.28662628,-0.09498835,-0.437183,-0.14338493,-0.32015073
RGMB,-1.3149517,-1.0949287,-0.845769,-1.1793498,-1.441616,-1.3407724,-0.3481492,-0.75114775,-1.7000381,-1.554161,-0.73022175,-0.82816046,-1.25579,-1.0357671,-0.7866073,-1.1201881,-1.3824544,-1.2816107,-0.28898755,-0.6919861,-1.6408764,-1.4949993,-0.6710601,-0.7689988
CYB561D1,0.13045654,-0.054751728,0.45091185,0.327477,-0.29105106,-0.51539564,-0.014675383,0.094578326,-0.40872845,-0.19589706,-0.020036375,0.13160633,0.13993876,-0.04526951,0.46039405,0.3369592,-0.28156886,-0.50591344,-0.0051931683,0.10406054,-0.39924625,-0.18641484,-0.01055416,0.14108855
ZDHHC24,-0.3939623,-0.32090724,-0.11648063,-0.2280998,-0.3790138,-0.33579054,0.06914815,-0.11460356,-0.11557823,-0.91409963,-0.18243869,-0.46782327,-0.48379248,-0.41073745,-0.20631084,-0.31792998,-0.468844,-0.42562073,-0.020682052,-0.20443377,-0.20540842,-1.0039299,-0.2722689,-0.5576535
TRMT10C,0.054281257,0.060213067,0.03285267,-0.212162,-0.14603204,0.119026385,-0.11017429,0.14599897,0.008295327,0.15639131,0.35150114,0.34664077,0.04172674,0.047658548,0.02029815,-0.22471653,-0.15858656,0.10647187,-0.12272881,0.13344444,-0.0042591924,0.14383678,0.3389466,0.33408624
CTU2,-0.37838575,-0.51199454,-0.18677416,-0.5027121,-0.23594157,-0.10541546,-0.29208997,0.1443324,-0.2610435,-0.24756785,-0.29304305,-0.21005085,-0.37147292,-0.5050817,-0.17986134,-0.49579924,-0.22902875,-0.098502636,-0.28517714,0.15124522,-0.25413066,-0.24065502,-0.28613022,-0.20313802
MGA,0.2019853,-0.09348282,0.22911097,0.04330778,-0.41925374,-0.24753974,-0.10502722,0.30367377,-0.6119813,-0.11659427,0.09644055,0.20958672,0.19735612,-0.09811201,0.22448179,0.038678598,-0.42388293,-0.25216892,-0.10965641,0.29904458,-0.61661047,-0.12122346,0.09181137,0.20495754
KICS2,0.19826974,0.27906027,0.06247612,-0.038738873,0.13957088,0.016116818,0.100445725,0.32261202,0.15087466,0.0830264,0.1831783,0.34518477,0.17011195,0.2509025,0.034318343,-0.066896655,0.1114131,-0.0120409615,0.07228795,0.29445425,0.12271688,0.054868624,0.15502052,0.317027
PIGG,-0.39326888,-0.4310528,0.12215535,-0.3019762,-0.2869082,-0.22994028,-0.02857649,-0.1859217,-0.6402371,-0.43772674,0.13350594,0.107118994,-0.43258923,-0.47037315,0.082835004,-0.34129655,-0.32622856,-0.26926062,-0.067896836,-0.22524205,-0.67955744,-0.4770471,0.09418559,0.067798644
ADCY6,-0.6030945,-0.039538845,0.2224446,-0.03927829,-0.117888115,-0.28860098,-0.046426594,-0.0006842978,-0.36134392,-0.55367285,-0.17034848,-0.013837051,-0.65264237,-0.0890867,0.17289674,-0.088826135,-0.16743596,-0.33814883,-0.095974445,-0.050232146,-0.41089177,-0.6032207,-0.21989633,-0.0633849
