,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
CANX,-0.046177506,-0.20771159,-0.05025944,-0.07534535,-0.15585554,-0.03651547,-0.25966814,-0.15824054,-0.22723275,0.11513346,-0.0027859577,-0.048884854,-0.08906521,-0.2505993,-0.09314714,-0.118233055,-0.19874324,-0.07940317,-0.30255583,-0.20112824,-0.27012044,0.07224576,-0.045673657,-0.09177256
MAML1,-0.6099912,-0.3251744,-0.07992075,-0.47104922,-0.43595988,-0.14690824,-0.58912355,-0.36060375,-0.50896066,-0.25423765,-0.36433896,-0.22260253,-0.5369243,-0.2521075,-0.0068538636,-0.39798233,-0.362893,-0.073841356,-0.51605666,-0.28753686,-0.43589377,-0.18117076,-0.29127207,-0.14953566
TNK1,0.034889683,0.19116363,0.25337565,0.26267603,0.53684914,0.2109507,0.26137263,0.32099253,0.25459704,0.11947583,0.2568317,0.17782943,0.038858615,0.19513255,0.25734457,0.26664495,0.5408181,0.21491963,0.26534155,0.32496145,0.25856596,0.12344476,0.26080063,0.18179837
ADAMTS2,-2.2796936,-2.7367647,-1.9145844,-1.573758,-1.7509763,-2.2598507,-1.8217562,-2.2414646,-2.6281264,-2.4028726,-2.0903656,-2.3454652,-2.269825,-2.726896,-1.9047158,-1.5638894,-1.7411077,-2.249982,-1.8118876,-2.231596,-2.6182578,-2.393004,-2.080497,-2.3355966
HBP1,0.08430156,-0.00085097976,0.0882101,0.04129038,-0.16385797,-0.104735896,-0.45034882,-0.058560006,-0.3646801,0.24229474,0.05223327,0.2340075,0.016624145,-0.0685284,0.020532683,-0.026387036,-0.23153538,-0.17241332,-0.51802623,-0.12623742,-0.43235752,0.17461732,-0.015444145,0.16633007
BCAP29,-0.09533707,-0.4277876,-0.23908363,-0.18285884,-0.24605605,-0.2716709,-0.42326328,-0.364057,-0.9216548,-0.11448093,0.43778,-0.23390017,-0.06267534,-0.39512587,-0.20642191,-0.15019712,-0.21339433,-0.23900919,-0.39060155,-0.33139527,-0.8889931,-0.08181921,0.47044173,-0.20123845
NLGN2,-0.8848116,-0.25708658,-0.8114007,-0.82136434,-0.4667328,-0.7681023,-0.4428428,-0.9775026,-1.1905336,-1.0517802,-0.6531161,-0.87799627,-0.85480374,-0.22707875,-0.7813929,-0.7913565,-0.436725,-0.73809445,-0.412835,-0.94749475,-1.1605258,-1.0217724,-0.62310827,-0.8479884
ZBTB4,-0.7339176,-0.7365339,-0.5497588,-0.5690457,-0.55523455,-0.5636365,-0.3749946,-0.5482078,-0.84592015,-0.601152,-0.4951045,-0.5842296,-0.59905094,-0.6016672,-0.41489214,-0.43417907,-0.4203679,-0.42876983,-0.24012795,-0.41334116,-0.7110535,-0.46628535,-0.36023784,-0.44936293
VPS53,-0.4343951,-0.05618249,0.19854331,-0.25871176,-0.0824012,0.009308563,-0.090152666,-0.08881771,-0.58068514,0.08826915,0.029467229,-0.087679,-0.44302133,-0.06480873,0.18991707,-0.26733798,-0.09102744,0.0006823288,-0.0987789,-0.09744394,-0.58931136,0.07964292,0.020840995,-0.096305236
MRNIP,-0.47210518,0.101541005,0.19492999,0.09817026,-0.03401388,-0.12578098,0.17984615,-0.2922465,-0.26639128,-0.070281096,0.21484683,-0.26535788,-0.56925905,0.0043871403,0.09777612,0.0010163933,-0.13116774,-0.22293484,0.08269229,-0.38940036,-0.36354515,-0.16743496,0.11769297,-0.36251175
IGSF6,0.23140188,-0.57225513,-1.126116,-0.90396076,-0.86544263,-0.21241407,-0.5127181,-0.8667022,-0.752228,0.6181136,-0.56833476,-0.68313485,0.09365985,-0.7099972,-1.2638581,-1.0417027,-1.0031847,-0.3501561,-0.6504601,-1.0044442,-0.88997006,0.48037153,-0.7060768,-0.8208769
CHRNB1,0.05813028,0.08723683,0.12650584,0.047273673,0.03616199,0.30559835,-0.0075451727,0.21968165,0.053587858,-0.04410159,0.28896466,0.13554594,0.0735534,0.10265995,0.14192896,0.06269679,0.051585104,0.32102147,0.007877944,0.23510477,0.06901097,-0.028678473,0.30438778,0.15096906
