,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TSPAN6,0.47272742,-0.4964316,-0.20587523,-0.30924007,-0.25424173,-0.13990664,0.30188715,-0.32468593,0.17127167,-0.35656694,-0.20725206,-0.36772045,0.33709145,-0.63206756,-0.34151122,-0.44487607,-0.38987774,-0.27554262,0.16625117,-0.4603219,0.03563568,-0.49220294,-0.34288806,-0.50335646
DPM1,0.15969121,0.19854003,0.1569036,0.009665041,0.20496015,0.03096697,-0.19489765,-0.10706618,0.50408906,0.30650935,0.21975026,0.07695819,0.26053974,0.29938856,0.25775212,0.11051356,0.30580866,0.1318155,-0.09404913,-0.0062176585,0.60493755,0.40735787,0.32059878,0.1778067
SCYL3,0.07945265,-0.01460139,0.06844829,0.103835,-0.044649027,0.0318129,0.24689864,-0.037633866,0.10148438,0.16816899,0.27909726,0.08030759,0.24982366,0.15576962,0.2388193,0.274206,0.12572199,0.2021839,0.41726965,0.13273714,0.27185538,0.33854002,0.44946826,0.2506786
C1orf112,0.18844728,0.09186542,-0.16199163,-0.204133,0.08424271,-0.3423757,-0.01753983,-0.24623007,0.2644041,-0.036069874,0.13156198,0.13141394,0.25240833,0.15582645,-0.0980306,-0.14017197,0.14820373,-0.27841467,0.0464212,-0.18226904,0.32836512,0.027891155,0.19552301,0.19537497
FGR,-0.55652326,0.31662777,-0.28348845,-0.35096344,0.34788308,-0.0025740738,-0.10030888,-0.36683047,0.49230322,-0.17868255,-0.44118732,-0.59201884,-0.8903018,-0.01715082,-0.617267,-0.68474203,0.0141044855,-0.33635268,-0.43408746,-0.7006091,0.15852463,-0.5124611,-0.7749659,-0.92579746
CFH,1.0241609,0.70811194,0.72928965,0.6879805,0.7932942,0.4540533,0.3326989,0.62148076,0.91286546,0.5079988,0.5458511,0.78677994,1.1687843,0.85273534,0.87391305,0.8326039,0.9379176,0.5986767,0.4773223,0.76610416,1.0574889,0.6526222,0.6904745,0.93140334
FUCA2,-0.0341556,0.0025466732,0.11980184,-0.09138159,-0.09248674,0.18561396,0.084713235,-0.06691689,-0.0465557,0.09797977,0.03736854,-0.0052190446,0.1381323,0.17483456,0.29208973,0.08090631,0.07980116,0.35790187,0.25700113,0.105371006,0.1257322,0.27026767,0.20965643,0.16706885
GCLC,0.15595385,0.5155332,0.3215177,0.16393793,0.12259752,0.36647552,0.46976218,0.18866982,0.2413386,0.35086036,0.22406307,0.30932832,0.09288679,0.45246613,0.25845063,0.10087086,0.05953046,0.30340844,0.40669513,0.12560275,0.17827153,0.28779328,0.160996,0.24626125
NFYA,-0.059690107,-0.028126799,-0.093844995,-0.17571135,-0.36472613,-0.091874346,-0.084989384,0.008956635,-0.10334451,-0.40908507,-0.10520272,-0.2750362,-0.214707,-0.1831437,-0.2488619,-0.33072823,-0.519743,-0.24689125,-0.24000628,-0.14606026,-0.2583614,-0.56410193,-0.26021963,-0.43005309
STPG1,-0.18684626,0.009031664,0.12293062,-0.44342232,-0.3070981,-0.15764254,0.12211767,0.07945853,-0.2173419,-0.7092302,0.18403167,-0.650432,-0.2876797,-0.09180179,0.02209717,-0.5442558,-0.40793154,-0.258476,0.021284215,-0.021374926,-0.31817535,-0.81006366,0.08319821,-0.75126547
NIPAL3,-0.91156113,-0.08457885,0.24475601,-0.5981195,-0.11415077,-0.29132062,0.07224488,-0.31044692,-0.9337826,-0.4666246,-0.0033249287,-0.70460093,-0.97100043,-0.14401817,0.18531668,-0.6575588,-0.1735901,-0.35075995,0.012805551,-0.36988625,-0.9932219,-0.5260639,-0.06276426,-0.76404023
LAS1L,-0.33615977,-0.060692206,-0.03216492,-0.16638719,-0.26735216,-0.2855663,-0.08684855,0.20669772,-0.11048398,0.061373893,-0.094134845,-0.3618564,-0.28199345,-0.0065258853,0.0220014,-0.11222087,-0.21318585,-0.23139998,-0.03268223,0.26086405,-0.05631766,0.115540214,-0.039968524,-0.30769008
ENPP4,0.68313664,0.00014066657,0.1508175,0.045174297,0.10068367,0.04405469,0.08296778,-0.06722466,0.58147895,0.06951373,0.27022287,0.23916866,1.1633289,0.48033297,0.6310098,0.5253666,0.580876,0.524247,0.56316006,0.41296765,1.0616713,0.54970604,0.7504152,0.71936095
SEMA3F,-2.0069318,-0.7281297,-0.50787234,-1.1507721,-0.7577314,-1.3674669,-0.4461774,-0.46476284,-1.5013554,-1.0694506,-0.83864474,-1.0621665,-2.059295,-0.78049296,-0.5602356,-1.2031354,-0.81009465,-1.4198302,-0.49854064,-0.5171261,-1.5537187,-1.1218139,-0.891008,-1.1145297
CFTR,0.27963454,-0.10349345,-0.1366936,-0.54273725,-0.19516234,-0.27416795,0.5417601,-0.6628841,-0.5566554,-0.5669742,0.015868647,-0.8356461,1.5853908,1.2022629,1.1690627,0.7630191,1.110594,1.0315883,1.8475164,0.6428722,0.7491009,0.7387821,1.321625,0.47011024
ANKIB1,-0.39253804,0.10776983,0.1283834,-0.5671371,-0.21638279,-0.24739042,0.08579644,-0.37240574,-0.3114746,-0.44306868,-0.111487046,-0.29159033,-0.33439973,0.16590816,0.18652172,-0.5089988,-0.15824446,-0.1892521,0.14393476,-0.31426743,-0.25333628,-0.38493037,-0.053348724,-0.233452
CYP51A1,0.53970844,0.8358878,0.79938567,0.93211234,0.94233096,0.929547,0.99507475,0.48779798,1.1991787,0.9939206,0.9130596,0.94159204,1.0400376,1.3362169,1.2997148,1.4324415,1.4426601,1.4298762,1.495404,0.9881272,1.699508,1.4942498,1.4133887,1.4419212
KRIT1,-0.16554601,0.36678758,-0.03266057,-0.3126081,-0.5083898,-0.071255185,0.31564093,-0.34661448,-0.1752365,-0.33905217,-0.30944562,-0.066719286,-0.16723104,0.36510256,-0.034345593,-0.31429312,-0.5100748,-0.07294021,0.3139559,-0.3482995,-0.17692152,-0.3407372,-0.31113064,-0.06840431
RAD52,-0.4522167,-0.62201387,0.32756552,-0.6181967,0.007555704,0.061228976,0.21577151,-0.4479558,-0.4084049,-0.16803594,-0.18557696,-1.0316417,-0.73412824,-0.9039254,0.04565397,-0.9001083,-0.27435586,-0.22068258,-0.06614004,-0.72986734,-0.69031644,-0.44994748,-0.46748853,-1.3135533
BAD,-0.17174664,-0.009598913,0.014915784,0.21332315,0.43242154,0.5548346,0.6030442,0.33977872,-0.053455673,0.27999547,0.04513348,-0.0476354,-0.3387876,-0.17663985,-0.15212516,0.046282202,0.2653806,0.38779366,0.43600327,0.17273778,-0.22049662,0.11295453,-0.121907465,-0.21467635
LAP3,0.64014864,0.17197685,0.40506235,0.34881297,0.6738278,-0.011133333,0.6515172,0.26916647,0.9515632,0.23387098,0.21726044,0.5393032,0.81577235,0.34760058,0.5806861,0.5244367,0.84945154,0.16449039,0.8271409,0.44479018,1.1271869,0.4094947,0.39288414,0.7149269
CD99,-0.25433162,-0.09613535,-0.023157379,-0.16732913,-0.1743636,0.08081664,0.13054676,-0.12440709,-0.39066425,0.00059966126,0.047575068,-0.21767633,-0.1586359,-0.00043962896,0.07253834,-0.07163341,-0.07866788,0.17651236,0.22624248,-0.028711371,-0.29496855,0.09629538,0.14327079,-0.12198061
HS3ST1,-0.13548996,-0.49593702,0.16332173,-0.058059372,-0.39174643,-0.4425764,-0.4989505,-0.40829965,0.1584021,0.47243822,0.08737205,-0.3950881,-0.1326517,-0.49309877,0.16615999,-0.05522112,-0.38890818,-0.43973815,-0.49611226,-0.4054614,0.16124035,0.47527647,0.090210296,-0.39224985
HECW1,-0.8291031,-0.7355992,-1.1601046,-1.3581492,-0.70359594,-1.7640631,-1.4179617,0.4285812,-1.6198344,-1.5358895,-1.3196695,-1.1076807,-0.60622275,-0.5127188,-0.93722427,-1.1352688,-0.48071554,-1.5411828,-1.1950814,0.6514616,-1.396954,-1.3130091,-1.0967891,-0.8848003
MAD1L1,-0.011632789,0.70962113,0.57047874,1.00116,0.63352233,1.0948588,0.81807667,0.7532019,0.15879796,1.0018715,0.943254,0.9749511,0.5007045,1.2219584,1.0828161,1.5134974,1.1458597,1.6071961,1.330414,1.2655392,0.6711353,1.5142088,1.4555913,1.4872885
LASP1,-0.62188786,-0.33093336,-0.34844923,-0.4881089,-0.36213973,-0.10672152,-0.13715237,-0.2639036,-0.7557046,-0.434427,-0.42573404,-0.61295784,-0.4163172,-0.1253627,-0.14287856,-0.28253824,-0.15656906,0.09884915,0.068418294,-0.05833292,-0.55013394,-0.22885633,-0.22016338,-0.40738717
SNX11,-0.3149838,0.0024682598,-0.16119775,-0.048981424,0.037484746,0.05488685,-0.15427183,0.10158844,0.06334811,-0.1597884,-0.22137623,-0.18469237,-0.31930408,-0.001852033,-0.16551805,-0.053301718,0.033164453,0.050566558,-0.15859212,0.09726815,0.059027813,-0.1641087,-0.22569652,-0.18901266
TMEM176A,0.44332114,0.16178356,0.049519245,0.576005,0.60842365,0.5051859,0.62104505,0.44429007,0.39899153,0.35954142,0.24955301,0.41010016,0.4757316,0.19419403,0.08192972,0.6084155,0.64083415,0.5375964,0.65345556,0.47670054,0.431402,0.3919519,0.2819635,0.44251063
M6PR,-0.11884448,-0.3801047,-0.28637898,-0.41689542,-0.22366224,-0.349384,-0.5765081,-0.45186186,-0.10004593,-0.5373225,-0.5051289,-0.45288074,-0.04033657,-0.3015968,-0.20787108,-0.33838752,-0.14515433,-0.2708761,-0.4980002,-0.37335396,-0.02153802,-0.45881462,-0.42662102,-0.37437284
KLHL13,0.18299228,0.59007806,0.2340041,0.3332913,0.8473215,0.34894636,0.1904816,-0.010082592,0.5099482,0.23876889,0.55767554,0.58038574,0.30330244,0.7103882,0.35431427,0.45360145,0.9676317,0.46925652,0.31079176,0.11022756,0.6302583,0.35907906,0.67798567,0.7006959
ICA1,0.21959512,0.32487896,-0.08015323,0.3188493,0.10487457,0.29954842,0.03640908,-0.15246105,0.35537636,0.477008,0.18181156,0.4264559,-0.07865037,0.026633471,-0.37839872,0.020603806,-0.19337091,0.0013029277,-0.2618364,-0.45070654,0.057130873,0.1787625,-0.11643393,0.1282104
DBNDD1,0.049607605,0.85423505,0.5381871,0.7709886,0.66824657,1.5956899,1.5282223,0.686259,-0.06426496,0.9753824,0.86480117,0.6966745,0.09664269,0.90127015,0.5852222,0.8180237,0.71528167,1.642725,1.5752574,0.73329407,-0.017229874,1.0224174,0.91183627,0.7437096
ALS2,0.22535339,0.14698741,0.10548632,-0.08334107,0.41866514,0.05512279,0.0073599843,-0.071166344,0.10212852,-0.4826956,-0.032721788,0.05688477,0.19275798,0.114392,0.07289091,-0.11593647,0.38606974,0.022527382,-0.025235422,-0.10376175,0.06953311,-0.51529104,-0.0653172,0.024289362
CASP10,0.38743985,0.2679934,0.36989033,0.29339293,0.033985917,0.012829386,0.25623176,-0.089904696,0.4092219,-0.15885584,0.49701908,0.08916655,0.39711648,0.27767003,0.37956697,0.30306956,0.043662548,0.022506017,0.2659084,-0.08022807,0.41889852,-0.1491792,0.5066957,0.09884318
CFLAR,-0.398257,-0.17135064,0.03541758,-0.352979,-0.38599268,-0.19073205,-0.045245726,-0.039959937,-0.11229649,-0.66374886,-0.17879152,-0.27170923,-0.48853806,-0.26163173,-0.05486349,-0.44326007,-0.47627375,-0.28101313,-0.13552679,-0.130241,-0.20257756,-0.7540299,-0.2690726,-0.3619903
TFPI,0.9155098,0.44659567,0.63987696,0.4706877,0.25156465,0.27261755,0.37424436,0.25768146,0.4923971,0.46754286,0.58925027,0.47594267,0.85006297,0.38114882,0.5744301,0.40524083,0.18611778,0.20717068,0.30879748,0.19223459,0.42695022,0.40209597,0.5238034,0.41049582
NDUFAF7,0.14191,-0.23006693,0.38472635,-0.41943303,-0.091528445,-0.11599092,0.05208647,-0.20008068,0.13429874,0.073645204,0.28380558,-0.30163652,0.33621866,-0.03575827,0.579035,-0.22512437,0.10278021,0.07831773,0.24639513,-0.0057720244,0.32860738,0.26795387,0.47811425,-0.10732786
RBM5,-0.1603305,-0.2674008,0.0813875,-0.4779527,-0.55951554,-0.34370655,0.18061493,-0.2982889,-0.12103057,-0.8467937,-0.10058735,-0.6570755,-0.22483924,-0.33190954,0.016878761,-0.5424614,-0.6240243,-0.40821528,0.1161062,-0.36279765,-0.1855393,-0.91130245,-0.16509609,-0.72158426
SLC7A2,0.76638395,0.28698885,0.68610334,0.14294256,0.529666,0.012420173,0.21979626,0.20008717,0.5346766,-0.0188702,0.40204817,0.34365192,0.9142498,0.43485466,0.8339691,0.29080838,0.67753184,0.16028598,0.36766207,0.34795296,0.68254244,0.1289956,0.549914,0.49151772
ARF5,-0.25845852,-0.18295905,-0.21548115,-0.07957209,0.030639673,0.14387372,0.09553402,0.22719152,-0.14177543,-0.18837294,-0.1481329,-0.05361075,-0.18602818,-0.11052871,-0.1430508,-0.0071417466,0.10307001,0.21630406,0.16796437,0.29962188,-0.06934509,-0.1159426,-0.07570256,0.018819593
SARM1,-0.7379906,-0.32705986,-0.17600961,-0.6284914,-0.566525,-0.32917014,-0.8090868,-0.4125892,-0.84339726,-0.69970375,-0.32751614,-0.2590132,-0.8778218,-0.46689102,-0.31584078,-0.7683226,-0.70635617,-0.4690013,-0.948918,-0.5524204,-0.98322845,-0.8395349,-0.4673473,-0.39884436
POLDIP2,0.002472354,0.13813256,0.042253196,0.18808341,0.20922126,0.36629376,0.37419474,0.19216965,-0.003924139,0.13699931,-0.040970728,0.06744981,-0.06225151,0.07340869,-0.022470668,0.123359546,0.1444974,0.30156988,0.3094709,0.12744579,-0.068648,0.072275445,-0.10569459,0.002725944
PLXND1,-1.3634706,-0.8529574,-0.69704974,-1.0683514,-0.47142386,-0.6062031,-0.24742523,-0.46656895,-1.1676807,-1.0302852,-0.54508454,-1.4002604,-1.485342,-0.9748289,-0.8189212,-1.1902229,-0.59329534,-0.72807455,-0.36929667,-0.5884404,-1.2895522,-1.1521567,-0.666956,-1.5221319
AK2,0.23939744,0.15961063,0.07336171,0.08343396,0.23432903,-0.0029102429,0.03921903,0.12034014,0.31094953,0.10882654,-0.027841853,0.2671858,0.33897704,0.25919026,0.17294133,0.18301359,0.33390865,0.096669376,0.13879865,0.21991976,0.41052914,0.20840615,0.071737766,0.36676544
CD38,-0.009894389,-0.24988495,-0.40433002,-0.27716282,-0.08877653,-0.37766695,-0.3080259,-0.11733748,-0.18660755,-0.19293088,-0.52434576,-0.50396234,0.1760468,-0.06394376,-0.21838883,-0.09122163,0.09716466,-0.19172576,-0.12208471,0.06860371,-0.000666365,-0.0069896877,-0.33840457,-0.31802115
FKBP4,-0.06727377,0.050748765,-0.11831247,-0.096975274,0.13249946,0.484554,0.6001788,-0.1575387,0.033651248,-0.106620036,0.13004242,-0.21223903,-0.17424959,-0.056227043,-0.22528827,-0.20395109,0.025523648,0.3775782,0.49320298,-0.2645145,-0.07332456,-0.21359584,0.02306661,-0.31921482
KDM1A,-0.5244474,-0.37982786,-0.046014607,-0.37652668,-0.32890666,-0.24114026,-0.24285564,-0.16410102,-0.4955388,-0.35255685,-0.28932032,-0.4818627,-0.45522738,-0.31060785,0.023205385,-0.3073067,-0.25968665,-0.17192027,-0.17363565,-0.09488103,-0.42631882,-0.28333688,-0.22010033,-0.41264272
RBM6,-0.21966653,-0.28050473,0.03091174,-0.23499481,-0.59436876,-0.20122036,0.4112203,-0.1676787,-0.76716834,-0.7621503,-0.30587408,0.0143868225,-0.0025987923,-0.063437,0.24797948,-0.01792708,-0.37730104,0.01584737,0.62828803,0.049389035,-0.5501006,-0.54508257,-0.088806346,0.23145455
CAMKK1,-1.0190423,-0.34189865,-0.5418035,-0.6733838,-0.32904842,-0.7635337,-0.9478304,-0.5659145,-0.36464226,-0.4970605,-0.6859302,-0.56343186,-0.68879664,-0.011653066,-0.2115579,-0.3431382,0.0011971593,-0.43328813,-0.6175848,-0.23566893,-0.03439668,-0.16681492,-0.3556846,-0.23318627
RECQL,-0.2561211,-0.028022679,0.029710224,-0.325685,-0.17804709,-0.5673208,-0.2934894,-0.28992024,-0.062378228,-0.37816814,-0.18420921,-0.35239917,-0.070826545,0.15727188,0.21500477,-0.14039044,0.007247463,-0.38202626,-0.10819484,-0.10462569,0.122916326,-0.19287358,0.001085341,-0.16710462
VPS50,0.026265375,0.04000008,-0.031309906,-0.31355193,-0.254119,-0.45979545,0.24258928,-0.34113285,0.62558174,0.017768092,0.002096944,-0.33333498,0.09958803,0.113322735,0.042012747,-0.24022928,-0.18079636,-0.3864728,0.31591195,-0.2678102,0.6989044,0.091090746,0.0754196,-0.26001233
NDUFAB1,0.116751485,0.06190528,0.21667509,0.31033406,0.12639321,0.2392756,0.1641988,0.23094238,0.37299734,0.2831647,0.27370554,0.2156575,0.119284466,0.06443826,0.21920808,0.31286705,0.1289262,0.2418086,0.16673179,0.23347537,0.37553033,0.2856977,0.27623853,0.21819049
PDK4,-0.7286908,0.2852816,0.4383695,0.8873823,0.35059097,-0.39349377,0.29805875,0.36836463,-0.045546655,0.39773503,0.18091755,1.3228102,-1.0282522,-0.014279872,0.13880804,0.5878209,0.051029503,-0.6930553,-0.0015027225,0.06880316,-0.34510812,0.09817356,-0.118643925,1.0232487
SLC25A13,0.1801668,0.34537628,0.53192246,0.3800236,0.15174371,0.34054977,0.25268388,0.21186155,0.3891826,0.40868658,0.34755626,0.44053918,0.17053148,0.33574098,0.52228713,0.3703883,0.14210841,0.33091447,0.24304858,0.20222625,0.3795473,0.39905128,0.33792096,0.43090388
ST7,-0.039292686,-0.03443516,0.068906955,0.1468905,-0.018234786,0.0728109,0.060002394,-0.094925046,0.1680579,-0.09422863,-0.07460897,0.0153171765,0.17350784,0.17836538,0.2817075,0.35969102,0.19456574,0.28561145,0.27280292,0.11787549,0.38085842,0.1185719,0.13819157,0.2281177
CDC27,-0.040708423,0.11345374,-0.25861284,-0.35731265,-0.16080071,-0.2948845,-0.44819778,-0.4174673,-0.038570706,-0.34704244,-0.20422895,-0.5528856,0.10938595,0.2635481,-0.10851847,-0.20721827,-0.010706335,-0.14479013,-0.2981034,-0.2673729,0.11152367,-0.19694807,-0.054134578,-0.4027912
HCCS,-0.069400415,-0.08563238,-0.18063669,-0.3585505,-0.25950623,0.04748559,-0.04870569,-0.24579747,0.114656724,-0.041599944,-0.004629401,-0.23383924,-0.03802949,-0.05426145,-0.14926577,-0.32717955,-0.2281353,0.07885651,-0.017334763,-0.21442655,0.14602765,-0.010229018,0.026741525,-0.20246832
DVL2,-0.42742684,-0.24335325,0.08484028,-0.37220204,-0.14318487,0.039884582,0.19406684,-0.015793607,-0.6857961,-0.5753881,-0.32638,-0.37153965,-0.40450624,-0.22043265,0.10776088,-0.34928143,-0.12026428,0.062805176,0.21698743,0.0071269907,-0.6628755,-0.55246747,-0.3034594,-0.34861904
UPF1,-0.4087543,-0.26218322,-0.1276251,-0.46390897,-0.108085476,-0.13150886,0.2835824,-0.374905,-0.67639613,-0.46397477,-0.2956011,-0.52790177,-0.61421955,-0.46764845,-0.33309034,-0.6693742,-0.3135507,-0.33697408,0.07811715,-0.58037025,-0.8818614,-0.66944003,-0.5010663,-0.733367
SKAP2,-0.3941199,-0.30723011,-0.07586344,-0.5291535,0.024276823,-0.4899091,-0.32284352,-0.20904216,-0.1765459,-0.35460523,-0.10958507,-0.44579944,-0.41637936,-0.3294896,-0.098122925,-0.551413,0.0020173453,-0.5121686,-0.345103,-0.23130164,-0.19880538,-0.3768647,-0.13184455,-0.4680589
SLC25A5,0.15349016,0.049063705,0.07561473,0.15309152,0.0944789,0.26414987,0.09621086,0.13551927,0.40708286,0.32134894,0.086600505,0.07590884,0.082864635,-0.021561816,0.004989207,0.082466,0.023853377,0.19352436,0.025585338,0.064893745,0.33645734,0.25072342,0.015974984,0.0052833185
MCUB,-0.48790368,-0.24014488,-0.3387054,-0.95296955,-0.90148133,-1.0329577,-1.2520273,-0.3695278,-0.4175556,-0.579369,-0.40831304,-0.9219577,-0.48410884,-0.23635003,-0.33491054,-0.9491747,-0.8976865,-1.0291629,-1.2482325,-0.36573294,-0.41376075,-0.57557416,-0.4045182,-0.9181628
POLR2J,0.051572435,-0.12511775,0.056290563,0.054109666,-0.017900186,-0.056933448,0.27627254,0.12721935,-0.028340125,0.071798876,0.09644668,0.10520648,0.052491695,-0.12419849,0.057209823,0.055028927,-0.016980926,-0.056014188,0.2771918,0.12813862,-0.027420865,0.072718136,0.09736594,0.10612574
DHX33,-0.3514308,0.15505253,0.06662631,-0.19449243,-0.08590347,-0.042614438,0.12597369,-0.07402557,-0.17475323,-0.20777996,-0.24454302,-0.09070383,-0.49364018,0.012843162,-0.075583056,-0.3367018,-0.22811285,-0.18482381,-0.01623568,-0.21623494,-0.3169626,-0.34998932,-0.38675237,-0.2329132
THSD7A,0.73121285,-0.13341726,-0.36832684,-0.28065825,-0.64505905,-0.25460234,-0.5888591,0.006058277,-0.23700315,-0.95389885,-0.5016711,0.29918322,0.60922986,-0.25540027,-0.49030983,-0.40264124,-0.76704204,-0.37658536,-0.7108421,-0.11592473,-0.35898614,-1.0758818,-0.62365407,0.17720021
LIG3,-0.5902942,-0.42815873,-0.1753095,-0.15392712,-0.7634371,-0.8152573,-0.32214358,-0.7925487,-0.124266066,-0.9411679,-0.3239995,-0.749736,-0.5506659,-0.38853046,-0.13568123,-0.11429885,-0.7238088,-0.77562904,-0.28251532,-0.75292045,-0.084637806,-0.9015396,-0.28437123,-0.71010774
RPAP3,0.14876232,-0.107393846,-0.0831776,-0.08900049,-0.32831082,-0.36603737,-0.22693422,-0.08744657,0.48614258,-0.12970053,-0.39021516,-0.530841,0.17059067,-0.08556549,-0.061349247,-0.06717214,-0.30648246,-0.34420902,-0.20510587,-0.06561822,0.5079709,-0.10787217,-0.3683868,-0.50901264
ACSM3,0.9228507,0.6086592,0.5479615,0.38478938,0.9244492,0.3817944,0.5146853,0.35701716,0.87545973,1.196768,0.2094474,0.600454,0.87963504,0.5654435,0.5047458,0.34157372,0.8812335,0.33857873,0.4714696,0.3138015,0.83224404,1.1535524,0.16623172,0.5572383
REXO5,0.52093434,0.05828732,0.8608112,-0.27253187,0.03675343,-0.14578263,-0.1376637,0.1657477,0.26828557,-0.15668695,-0.2982264,0.35486135,0.59452945,0.13188244,0.9344063,-0.19893675,0.11034855,-0.07218751,-0.064068586,0.23934282,0.34188068,-0.083091825,-0.22463126,0.4284565
CIAPIN1,-0.29171556,-0.09550345,0.14880891,-0.1318564,-0.26336345,0.009610862,0.20917408,0.22707239,0.07453084,-0.07601309,-0.086071886,-0.1467668,-0.17269093,0.023521192,0.26783356,-0.012831755,-0.14433882,0.1286355,0.32819873,0.34609702,0.19355547,0.043011554,0.032952756,-0.027742155
SPPL2B,-0.15183684,-0.5294947,-0.23500976,-0.120971546,-0.40052214,-0.4711735,0.32819903,-0.08816334,-0.90256995,-0.5479771,-0.4713701,-0.37279862,-0.27415222,-0.6518101,-0.35732514,-0.24328694,-0.5228375,-0.5934889,0.20588364,-0.21047872,-1.0248853,-0.6702925,-0.5936855,-0.49511403
COPZ2,-0.38519162,-0.62909037,-0.6346437,-0.5865577,-0.19701,-0.63416237,-0.6038738,-0.05490573,-0.5177357,-0.5138391,-0.8307386,-0.4741518,-0.31986618,-0.5637649,-0.56931823,-0.52123225,-0.13168456,-0.5688369,-0.53854835,0.010419708,-0.45241028,-0.4485137,-0.76541317,-0.40882635
MSL3,-0.25634158,-0.30617106,-0.2239844,-0.18184492,-0.37479463,-0.19058424,-0.3550008,-0.21338086,-0.046111714,-0.09831439,-0.25702703,-0.317025,-0.19330591,-0.2431354,-0.16094872,-0.118809246,-0.31175897,-0.12754858,-0.29196513,-0.15034518,0.01692396,-0.035278715,-0.19399136,-0.25398934
CREBBP,-1.1821843,0.84414214,0.32157055,-0.6005522,-0.8527392,-0.29964986,-0.17980069,-0.26707658,-1.5734932,-0.51092887,0.028797964,-0.65925246,-1.2921586,0.7341679,0.21159631,-0.71052647,-0.9627135,-0.4096241,-0.28977492,-0.37705082,-1.6834675,-0.62090313,-0.08117628,-0.76922673
TSPOAP1,0.09294387,-0.1542049,0.11831615,0.17803396,0.26524624,0.23433322,0.5619574,0.4381649,-0.23872343,0.14483383,-0.14693797,-0.23194782,0.017995983,-0.2291528,0.043368265,0.10308608,0.19029835,0.15938532,0.48700953,0.363217,-0.31367132,0.06988595,-0.22188586,-0.3068957
PON1,0.7179075,0.66335106,0.5600504,0.7272518,0.43641308,0.65023714,0.5606945,0.5449606,0.69679904,0.6904243,0.6664517,0.7431012,0.8378461,0.7832897,0.67998904,0.84719044,0.55635166,0.77017576,0.6806331,0.66489923,0.81673765,0.81036294,0.7863903,0.8630398
GCFC2,0.38286275,0.00045902384,0.012411448,0.1641866,-0.007145167,0.22237137,0.04389674,-0.25816914,0.35764354,0.3313244,0.07534318,-0.060343068,0.6564377,0.27403396,0.2859864,0.43776155,0.26642978,0.49594632,0.31747168,0.015405804,0.6312185,0.60489935,0.34891814,0.21323188
WDR54,-0.25946584,-0.74787134,-0.30657086,-0.5986747,-0.59995407,-0.8250039,-1.0008461,-0.07726494,-1.2639211,-0.8182951,-0.96546036,-0.86497515,-0.13684067,-0.62524617,-0.18394569,-0.47604954,-0.4773289,-0.70237875,-0.878221,0.045360237,-1.1412959,-0.69566995,-0.8428352,-0.74235
CROT,-0.07710624,-0.29883075,0.16773091,-0.05859051,-0.44106796,-0.046670534,0.40307125,-0.27857238,-0.096836805,-0.46619415,-0.18761025,-0.44943622,-0.22824307,-0.44996756,0.016594082,-0.20972735,-0.5922048,-0.19780737,0.2519344,-0.4297092,-0.24797364,-0.61733097,-0.33874708,-0.60057306
ABCB4,1.3931013,1.6366727,1.3977616,1.3639396,1.3514302,1.1667706,0.78669083,1.2405283,1.3325635,1.375586,1.1051286,1.5184242,1.7054348,1.9490062,1.710095,1.6762731,1.6637636,1.479104,1.0990243,1.5528618,1.644897,1.6879195,1.4174621,1.8307576
KMT2E,-0.049607817,-0.4704574,0.042556643,-0.38960484,-0.7304185,-0.27682096,-0.18995316,-0.4555573,-0.3710975,-0.3139758,0.03420952,-0.56962556,-0.099294156,-0.52014375,-0.007129699,-0.43929118,-0.7801049,-0.3265073,-0.2396395,-0.50524366,-0.42078385,-0.36366215,-0.015476823,-0.6193119
RHBDD2,-0.3110537,-0.09702182,-0.042235997,-0.0006679688,0.10446096,0.40413076,0.47864032,0.038443185,-0.517663,0.09248192,0.122992225,0.14624587,-0.17956494,0.034466937,0.089252755,0.13082078,0.23594972,0.5356195,0.61012906,0.16993195,-0.38617426,0.22397068,0.254481,0.27773464
ZNF195,0.19480231,-0.011632254,-0.108525686,-0.17281684,0.07251122,-0.25735873,-0.014509914,-0.16294669,-0.15000646,-0.0960973,0.07615718,0.19948891,0.3377056,0.13127105,0.034377612,-0.029913545,0.21541452,-0.11445543,0.12839338,-0.020043388,-0.00710316,0.046806,0.21906048,0.3423922
MYCBP2,-0.25205025,-0.1820538,-0.13267158,-0.23091803,-0.24494588,-0.38463956,-0.21836032,-0.168115,-0.43419197,-0.75315356,-0.40597102,-0.7650038,-0.34159386,-0.27159742,-0.22221519,-0.32046163,-0.3344895,-0.47418317,-0.30790395,-0.2576586,-0.5237356,-0.84269714,-0.49551463,-0.8545474
FBXL3,-0.015941272,-0.20056984,0.061332375,0.011382309,0.06764916,-0.2899565,-0.09796588,-0.013684665,0.23264599,-0.3939831,-0.10509637,0.026962876,0.2623274,0.07769883,0.33960104,0.28965098,0.34591782,-0.011687845,0.18030278,0.264584,0.5109147,-0.11571443,0.1731723,0.30523154
