,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
ZNF792,-0.23324278,0.08797392,0.21759486,-0.054561496,0.06776795,-0.065507814,0.20777553,0.16389996,-0.33653304,-0.3392651,-0.18104348,-0.15066047,-0.2656722,0.055544496,0.18516544,-0.08699092,0.03533852,-0.09793724,0.1753461,0.13147053,-0.36896247,-0.37169454,-0.2134729,-0.1830899
CUEDC1,-0.24672148,-0.24474461,-0.114855304,-0.26216376,-0.40622672,-0.20031694,0.11454547,-0.2557392,-0.18281119,-0.7263243,-0.095911875,-0.6838731,-0.019541562,-0.017564699,0.11232461,-0.034983844,-0.17904681,0.026862979,0.34172538,-0.028559297,0.04436873,-0.4991444,0.13126804,-0.4566932
KCTD2,-0.5602446,-0.3387176,-0.3862665,-0.38056365,-0.34554774,-0.37441143,0.04746355,-0.26192877,-0.57670504,-0.3243532,-0.42378628,-0.5584595,-0.37251493,-0.15098792,-0.19853681,-0.19283396,-0.15781805,-0.18668175,0.23519324,-0.07419908,-0.38897535,-0.1366235,-0.2360566,-0.37072983
D2HGDH,-0.3038913,0.08331081,-0.14404655,0.110002756,0.231954,0.7283883,0.9808039,0.41099894,-0.30232057,0.17228757,0.5045677,-0.03487571,-0.48019978,-0.09299767,-0.32035503,-0.06630573,0.05564551,0.5520798,0.80449545,0.23469046,-0.47862905,-0.0040209144,0.3282592,-0.21118419
OXTR,-0.78263354,-0.0587121,0.8450105,-0.6224284,-0.2161179,-0.39473116,-0.7120835,-0.3238583,-0.94838566,-0.19991978,-0.1939853,-0.8531155,-0.88947654,-0.1655551,0.7381675,-0.7292714,-0.3229609,-0.50157416,-0.8189265,-0.43070132,-1.0552287,-0.30676278,-0.3008283,-0.9599585
CMTR2,0.20959084,-0.082491,-0.13070948,-0.23841442,-0.3318023,-0.17195775,0.09174989,-0.07239679,0.08945816,-0.38593647,-0.06059407,-0.098476306,0.23310256,-0.058979288,-0.10719777,-0.2149027,-0.3082906,-0.14844602,0.11526161,-0.048885077,0.112969875,-0.36242476,-0.03708235,-0.07496459
ZNF572,0.2398379,0.45017877,0.2033238,0.14138946,0.45582044,-0.22502838,0.090275794,0.4716857,0.6341149,0.43956968,0.66666156,0.6839376,0.19374406,0.40408492,0.15722996,0.09529562,0.40972662,-0.27112222,0.044181958,0.4255919,0.5880211,0.39347583,0.62056774,0.6378438
ST20,0.17336941,-0.6820653,-0.35656056,0.23851858,0.13084103,-0.13689642,-0.47705677,-0.14371258,-0.24701753,-0.15109271,-0.4196569,-0.21181081,0.38271767,-0.47271705,-0.1472123,0.44786686,0.34018928,0.072451845,-0.2677085,0.06563568,-0.03766927,0.058255553,-0.21030864,-0.002462551
PITPNB,0.15006225,0.1422065,0.3429311,0.20877053,0.11414408,-0.007991326,0.30210364,0.065872155,0.22390275,0.09471736,0.23342794,0.20378192,-0.012662247,-0.02051799,0.1802066,0.046046034,-0.048580416,-0.17071582,0.13937914,-0.09685234,0.061178252,-0.068007134,0.07070345,0.041057423
TCEAL8,-0.067313336,0.0016803814,-0.3403207,-0.5560714,-0.32481575,-0.37385044,-0.61227936,-0.22912307,-0.1724321,0.012191379,-0.23198813,-0.40203342,0.17466676,0.24366046,-0.098340616,-0.31409132,-0.08283566,-0.13187034,-0.37029928,0.01285702,0.069547996,0.25417146,0.009991959,-0.16005333
LRRC57,-0.45973834,-0.056736205,-0.2547428,-0.2200775,-0.45680037,-0.13811965,-0.4425517,-0.44343147,-0.024898376,-0.052288443,-0.21356046,-0.23002318,-0.25475514,0.148247,-0.049759597,-0.015094295,-0.25181717,0.06686355,-0.2375685,-0.23844826,0.18008482,0.15269476,-0.008577257,-0.02503997
MRPL14,-0.0118083125,-0.36441657,0.001014905,0.11505985,0.09928782,-0.107083246,0.09484215,0.22856061,0.15173428,-0.025846014,-0.012790534,0.15492243,-0.19411941,-0.54672766,-0.1812962,-0.06725125,-0.08302328,-0.28939435,-0.08746895,0.04624951,-0.030576825,-0.20815712,-0.19510163,-0.027388677
GPR137C,-0.0630186,-0.088396,-0.26468736,-0.0521615,-0.24210878,-0.15718013,0.23114721,-0.15178049,-0.094952844,-0.4589394,-0.18458922,0.4920749,-0.13735428,-0.16273168,-0.33902305,-0.12649718,-0.31644446,-0.23151581,0.15681154,-0.22611617,-0.16928852,-0.53327507,-0.2589249,0.4177392
BBS12,0.002438188,-0.29852885,-0.10371898,-0.6491444,-0.7193114,-0.48199388,-0.6623257,-0.27913538,-0.1285233,-0.73855656,-0.58474255,-0.7262861,0.24834415,-0.052622885,0.14218698,-0.40323845,-0.47340545,-0.23608792,-0.4164197,-0.03322941,0.11738266,-0.4926506,-0.33883658,-0.48038015
ZFP82,-0.47942367,0.24693508,-0.039380297,-0.58872503,-0.503246,-0.57278234,-0.4244238,0.05110086,-0.66960984,-0.35768422,-0.86105233,-0.08077395,-0.31742918,0.4089296,0.12261419,-0.42673054,-0.34125152,-0.41078785,-0.26242933,0.21309535,-0.5076153,-0.19568974,-0.6990578,0.08122054
LSMEM1,0.3667566,-0.17498463,0.09822813,0.2861599,0.25492775,0.06553359,0.57340175,-0.1458963,0.013027889,-0.43080118,0.27526188,-0.26610872,0.5112151,-0.030526146,0.24268661,0.4306184,0.39938623,0.20999208,0.7178602,-0.001437813,0.15748638,-0.28634268,0.41972035,-0.121650234
NQO1,-1.1497412,0.49263445,-0.6264324,-0.34048346,-0.29623106,0.39901155,-0.4756931,-0.47583318,-0.12910204,-0.0017887125,0.43734112,-0.2856568,-1.1896443,0.45273122,-0.66633564,-0.38038668,-0.33613428,0.35910833,-0.51559633,-0.5157364,-0.16900526,-0.041691933,0.3974379,-0.32556003
AEN,-0.55211467,-0.12565356,-0.13151422,-0.33117494,-0.24514326,0.27443242,0.34898388,-0.29652867,-0.22996332,-0.25922552,-0.043651685,-0.5165164,0.21339077,0.63985187,0.63399124,0.4343305,0.52036214,1.0399379,1.1144893,0.46897677,0.53554213,0.50627995,0.72185373,0.24898905
FKRP,-0.49884367,-0.37942007,-0.7134919,-0.19008517,-0.021307282,-0.30903718,0.1085017,-0.26200145,-0.60123795,-0.63694626,-0.11457267,0.029282533,-0.3273936,-0.20796998,-0.54204184,-0.01863508,0.15014282,-0.13758709,0.2799518,-0.09055136,-0.42978787,-0.46549618,0.056877427,0.20073262
