,orginal_var_exp,new_var_exp,dataset
0,7.121934863398652,19.641108522904137,Wang
1,7.121934863398652,18.653564724564742,Wang
2,7.121934863398652,19.630414910234137,Wang
3,7.121934863398652,19.63095144869202,Wang
4,7.121934863398652,19.63618985116329,Wang
5,7.121934863398652,19.634050859925605,Wang
6,7.121934863398652,19.639091390334947,Wang
7,7.121934863398652,19.62630964243228,Wang
8,7.121934863398652,19.63148353593896,Wang
9,7.121934863398652,19.642449841622337,Wang
10,7.121934863398652,19.639374567900006,Wang
11,7.121934863398652,19.63144834046136,Wang
12,7.121934863398652,19.64009401413861,Wang
13,7.121934863398652,19.627347981011276,Wang
14,7.121934863398652,19.637180197120703,Wang
15,7.121934863398652,19.640109256418555,Wang
16,7.121934863398652,19.631712677418,Wang
17,7.121934863398652,19.638113831815343,Wang
