,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
HJV,0.58239216,1.1610808,1.058886,1.1154115,1.3443733,0.7270148,1.1187145,1.2780374,1.1141509,0.7577756,1.19489,1.1598088,0.7579344,1.3366231,1.2344283,1.2909538,1.5199156,0.902557,1.2942567,1.4535797,1.2896931,0.93331784,1.3704323,1.335351
HEXIM2,0.18409055,0.16271394,0.41414958,0.21508817,0.12451435,0.19238229,0.5228153,0.45290017,0.21634683,0.010427916,0.040446267,0.25401366,0.4486851,0.4273085,0.67874414,0.47968274,0.3891089,0.45697683,0.78740984,0.7174947,0.48094139,0.27502248,0.30504084,0.5186082
FNTA,-0.1418365,-0.034312617,0.06785372,-0.4353274,-0.16787699,-0.1670057,-0.25906613,-0.07563547,-0.38445574,0.07053187,0.19102013,-0.17185028,-0.19803736,-0.090513475,0.011652861,-0.49152827,-0.22407785,-0.22320656,-0.315267,-0.13183632,-0.4406566,0.014331009,0.13481927,-0.22805114
SERINC2,-0.60100144,-0.81160754,-0.6444189,-0.5115885,-0.5275005,-0.17380479,-0.1506732,-0.6047217,-0.55261165,-1.00592,-0.6470731,-0.99079233,-0.69900584,-0.90961194,-0.7424233,-0.6095929,-0.6255049,-0.2718092,-0.24867758,-0.7027261,-0.65061605,-1.1039244,-0.7450775,-1.0887967
TRAPPC11,-0.15311888,-0.21255054,-0.20660573,-0.3483119,-0.45027828,-0.42775926,0.08074081,-0.13324097,-0.37146187,-0.12151847,-0.25032994,-0.10991931,-0.20176822,-0.2611999,-0.25525507,-0.39696124,-0.49892762,-0.4764086,0.03209146,-0.18189031,-0.4201112,-0.17016782,-0.29897928,-0.15856865
COL3A1,-2.7130175,-3.85196,-2.8377829,-2.214873,-2.4705434,-2.385297,-2.663202,-3.3299797,-3.2781978,-3.0764067,-3.155355,-3.2759807,-3.259819,-4.3987617,-3.3845844,-2.7616746,-3.017345,-2.9320986,-3.2100036,-3.8767812,-3.8249993,-3.6232083,-3.7021565,-3.8227823
ING2,-0.21401101,-0.23160812,-0.20590438,0.0961747,0.044969622,-0.22204572,-0.1618809,-0.21148342,0.095510565,0.0057227453,-0.0960954,-0.043523137,-0.37377402,-0.39137113,-0.3656674,-0.06358831,-0.11479339,-0.38180873,-0.3216439,-0.37124643,-0.06425244,-0.15404026,-0.25585842,-0.20328614
CDKN2AIP,0.21194947,-0.17999119,0.17968151,-0.08428349,-0.15648633,-0.053337477,0.024330413,0.035834312,-0.45495436,0.2013428,0.13068204,0.123598844,0.14280665,-0.249134,0.1105387,-0.1534263,-0.22562915,-0.12248029,-0.044812396,-0.0333085,-0.52409714,0.1322,0.061539225,0.054456033
SNRNP48,0.057172514,-0.012024711,0.16772684,-0.07910131,-0.06727017,0.16501445,-0.36357525,0.0048199785,-0.20295353,0.25672498,-0.044506676,0.19303049,-0.01355958,-0.0827568,0.09699475,-0.14983341,-0.13800226,0.09428235,-0.43430734,-0.06591211,-0.27368563,0.1859929,-0.11523877,0.1222984
TMEM223,0.07300392,-0.31335035,-0.20441481,-0.5014895,-0.06548696,0.10579358,-0.22329362,0.03861509,0.17374672,-0.010432069,-0.24371801,-0.10795695,0.050149255,-0.336205,-0.22726947,-0.5243442,-0.08834162,0.08293892,-0.24614829,0.015760425,0.15089205,-0.03328673,-0.26657268,-0.13081162
SLC20A2,0.028958611,0.48104358,0.7301761,0.24271771,0.018863278,0.39048216,0.48107332,0.7451037,-0.0969828,0.048201133,0.6388571,0.6547571,0.3335149,0.7855998,1.0347323,0.547274,0.32341957,0.69503844,0.78562963,1.04966,0.20757347,0.35275742,0.9434134,0.9593134
TMUB2,-0.02831856,-0.24403842,-0.11472585,-0.25578395,0.08653831,-0.1428004,0.15486658,-0.045860846,-0.32202432,-0.067546606,-0.09106356,-0.07958762,-0.09527382,-0.31099367,-0.18168111,-0.3227392,0.019583046,-0.20975566,0.087911315,-0.11281611,-0.38897958,-0.13450187,-0.15801883,-0.14654288
STAT3,0.15826789,-0.05986318,0.19477746,0.2778785,-0.02036103,0.15919024,0.22686523,-0.09597451,0.06403656,0.027836824,0.047339603,0.09553021,0.12985836,-0.088272706,0.16636793,0.24946897,-0.048770558,0.13078071,0.1984557,-0.12438404,0.035627037,-0.0005727038,0.018930076,0.067120686
ZSWIM1,0.1223943,-0.34112468,-0.063549496,0.025208276,-0.38698468,-0.075747564,-0.35442147,-0.08586134,-0.23215887,-0.5388743,-0.38526464,0.025395768,0.24713223,-0.21638677,0.06118843,0.1499462,-0.26224676,0.04899036,-0.22968355,0.038876586,-0.10742094,-0.4141364,-0.26052672,0.1501337
GDNF,-1.342168,-0.18841992,-0.5821341,-0.34502053,-0.678855,-0.6149129,-0.021486942,-0.5850096,-1.2684487,-1.2549137,-0.009876531,-0.25110936,-1.1199234,0.033824638,-0.35988957,-0.12277597,-0.45661044,-0.39266837,0.20075762,-0.362765,-1.0462041,-1.0326691,0.21236803,-0.0288648
AXIN2,-0.61639124,-0.54405653,-0.7158332,-0.9109786,-0.85443157,-0.5635437,-0.81672883,-0.37393123,-0.24913119,-0.7955027,-0.39241576,-0.6241523,-0.7519091,-0.6795744,-0.851351,-1.0464964,-0.9899494,-0.6990615,-0.95224667,-0.50944906,-0.384649,-0.93102056,-0.5279336,-0.75967014
NDUFS5,-0.47397748,-0.4329333,-0.53895944,-0.5130141,-0.4427595,-0.20264454,-0.3360209,-0.28182912,-0.42848158,-0.4602444,-0.20540336,-0.38492975,-0.45035738,-0.4093132,-0.5153394,-0.48939398,-0.41913942,-0.17902444,-0.3124008,-0.25820902,-0.40486148,-0.4366243,-0.18178326,-0.36130965
ZNF30,0.515609,0.183483,0.1786587,0.2217029,0.12695447,0.42275655,0.5221539,0.3917437,-0.0946758,0.014626832,0.39456058,0.3313223,0.47402412,0.1418981,0.13707379,0.180118,0.08536956,0.38117164,0.480569,0.35015878,-0.13626072,-0.026958078,0.35297567,0.2897374
UGT3A2,-0.08200555,0.15253454,-0.12173426,-0.40060934,-0.28287613,0.56750107,-0.010596401,0.32934317,-0.12865046,-0.15166017,-0.13739637,-0.4607724,-0.07174906,0.16279103,-0.11147777,-0.39035285,-0.27261963,0.57775754,-0.00033991132,0.33959967,-0.118393965,-0.14140369,-0.12713988,-0.4505159
