,orginal_var_exp,new_var_exp,dataset
153,33.19131943,40.84719172,MPS
154,33.19131943,40.84204196,MPS
155,33.19131943,40.82588849,MPS
156,33.19131943,40.84456365,MPS
157,33.19131943,40.80061399,MPS
158,33.19131943,40.84221632,MPS
159,33.19131943,40.8459319,MPS
160,33.19131943,40.84191521,MPS
161,33.19131943,40.84615775,MPS
162,33.19131943,40.34644995,MPS
163,33.19131943,40.82689624,MPS
164,33.19131943,40.83556647,MPS
165,33.19131943,40.72506113,MPS
166,33.19131943,40.85003986,MPS
167,33.19131943,40.68521867,MPS
168,33.19131943,40.84412334,MPS
169,33.19131943,40.84468001,MPS
170,33.19131943,40.84038081,MPS
171,33.19131943,40.81010965,MPS
172,33.19131943,40.82508064,MPS
173,33.19131943,40.84283749,MPS
174,33.19131943,40.79765309,MPS
175,33.19131943,40.84608206,MPS
176,33.19131943,40.84809242,MPS
177,33.19131943,40.73678616,MPS
178,33.19131943,40.84158313,MPS
