,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
ZNF397,0.27515635,-0.0012847012,0.24451648,-0.22137961,-0.0816256,-0.19886024,0.08270444,-0.055856623,-0.26279795,-0.19113101,-0.031270944,0.054291602,0.28883642,0.0123953605,0.25819653,-0.20769955,-0.06794554,-0.18518019,0.0963845,-0.04217656,-0.2491179,-0.17745095,-0.017590882,0.06797166
ZSCAN30,0.08580777,-0.20406638,-0.042734575,-0.45095637,-0.055099975,-0.270679,0.09204258,-0.01801771,-0.5914172,-0.42786804,-0.15046732,-0.09048836,0.094313964,-0.19556019,-0.034228384,-0.4424502,-0.046593785,-0.26217282,0.100548774,-0.009511517,-0.582911,-0.41936186,-0.14196113,-0.081982166
TPCN1,-0.5268676,-0.22857177,-0.0787626,-0.5757833,-0.7882286,-0.507159,-0.7170261,0.18664144,-1.0224057,-0.5640765,-0.23881437,-0.71060365,-0.57246745,-0.27417162,-0.12436244,-0.62138313,-0.8338284,-0.5527588,-0.76262593,0.1410416,-1.0680056,-0.6096763,-0.2844142,-0.7562035
HEXIM1,-0.13733065,-0.12246154,0.08029701,-0.0901627,-0.13345502,0.34599048,0.46667862,-0.020079276,-0.19898185,-0.13307805,-0.059971508,-0.17672437,-0.24923602,-0.23436692,-0.031608365,-0.20206808,-0.2453604,0.23408511,0.35477325,-0.13198465,-0.31088722,-0.24498343,-0.17187688,-0.28862974
TRABD2A,-0.4866802,-0.2768477,0.24285251,-0.29883724,-0.16524695,0.07366277,0.2670442,0.07274368,-0.6164549,-0.34903634,0.09735222,-0.8976034,-0.48673508,-0.27690256,0.24279764,-0.2988921,-0.16530181,0.0736079,0.26698932,0.0726888,-0.6165098,-0.3490912,0.09729735,-0.8976583
PDZD7,-0.26539028,-0.26202983,-0.09474348,-0.40179345,-0.22741318,0.06392966,-0.014720954,-0.28531733,-0.42941687,0.12042568,-0.3577485,-0.17352708,-0.2955618,-0.29220134,-0.124915,-0.43196496,-0.2575847,0.03375815,-0.044892468,-0.31548885,-0.45958838,0.090254165,-0.38792002,-0.20369859
POFUT2,-0.5617135,-0.24615596,0.05850485,-0.8024771,-0.39550003,-0.30109972,-0.24793851,-0.3157379,-1.0783845,-0.60010016,-0.6288918,-0.5659676,-0.51676494,-0.20120737,0.10345344,-0.75752854,-0.35055146,-0.25615114,-0.20298992,-0.27078933,-1.033436,-0.5551516,-0.58394325,-0.52101904
ERCC6L,-0.5710685,0.17409243,-0.14770517,0.25392982,-0.076663285,0.24641451,0.30390576,-0.018097475,0.3529619,-0.35383275,0.30816323,-0.0062021036,-0.50023055,0.24493039,-0.0768672,0.3247678,-0.0058253184,0.3172525,0.37474373,0.052740492,0.42379987,-0.28299478,0.3790012,0.064635865
TMEM17,-0.3336506,0.1934977,-0.12753026,-0.31568876,-0.61701876,-0.56892955,-0.38923562,-0.010302241,-0.19443142,-0.3379399,-0.25306848,-0.36621007,-0.29901817,0.2281301,-0.092897855,-0.28105634,-0.5823864,-0.53429717,-0.3546032,0.024330165,-0.15979901,-0.30330747,-0.21843606,-0.33157766
RTN4RL2,0.036975812,-0.2167645,0.14070764,0.40211645,0.40652955,0.7068754,0.528607,0.5490172,-0.59955865,0.16226038,0.063002154,0.020739518,-0.025152922,-0.27889323,0.078578904,0.33998773,0.34440082,0.64474666,0.4664783,0.48688847,-0.6616874,0.100131646,0.0008734204,-0.041389216
