,control0,perturbed0
HSD17B7,0.09535835,0.14387198
ENOSF1,-0.15971535,-0.14836372
EMILIN2,0.5846999,0.60043234
SLX1A,-1.0072826,-0.89257646
ARFIP2,-0.27117544,-0.15997268
TRIM5,-0.0358492,-0.049980216
CNGA4,-0.026350033,-0.029194929
TRIM22,0.20943163,0.30651063
RRP8,-0.24039969,-0.11302957
TIMM10B,-0.017537983,0.05320777
EFR3A,-0.0014081745,0.07973926
HHLA1,-0.006351156,0.032929674
PTCD3,-0.0726492,-0.0153577365
IMMT,-0.10186742,0.019880913
MRPL35,-0.14460093,-0.07158288
IQCA1,-0.34148738,-0.35143572
ILKAP,-0.23452331,-0.19024497
PER2,0.06773626,0.13205355
RAMP1,-0.44615442,-0.3728906
SCLY,0.09209543,0.11743708
PTPRE,0.2414194,0.26830065
RAN,-0.2448601,-0.17397538
PRKAA1,0.108154036,0.16242906
CARD6,-0.13275303,-0.18893538
RAP1GAP2,-1.2298381,-1.1843449
CLUH,-0.34389868,-0.42982036
INPP5K,-0.104006134,-0.051253244
MYBBP1A,-0.31997937,-0.42956978
RPA1,-0.29866886,-0.25808796
UBE2G1,0.005287227,0.08611569
TBC1D14,-0.110937886,-0.054562815
TMEM128,-0.058056008,0.086011335
COQ3,-0.2553321,-0.25657883
PNISR,-0.05225137,0.09655139
POPDC3,-0.08400109,-0.22934183
SEC61G,0.016784947,0.04971414
LANCL2,-0.29776046,-0.18419226
FIGNL1,-0.09071506,-0.014801554
DDC,0.87961954,0.9386949
FTHL17,0.0,-0.0020372327
GRSF1,-0.08701478,-0.04010607
ENAM,0.037778743,-0.04032488
JCHAIN,0.56954473,0.56509715
ANKRD17,0.006107934,0.068516314
UTP3,-0.055146944,-0.06858489
ITGB4,-0.7169897,-0.75592893
WBP2,-0.21020705,-0.17501673
UNK,-0.41596222,-0.3385351
TRIM47,-0.5318853,-0.4659199
ZRANB2,0.028199563,0.22946924
KDM6B,-0.36386725,-0.467504
CLEC10A,0.028357426,0.15296471
SLC52A1,-0.047988705,-0.02718093
GUCY2D,-0.15515688,-0.1670633
XAF1,0.35732293,0.37736082
DLG4,0.00504571,-0.048288986
RIDA,0.788715,0.7914423
VPS13B,0.013547436,0.078866296
RGS22,-0.02505831,-0.014336147
MATN2,-0.3589917,-0.1815816
REEP2,-0.06637667,-0.10294677
PCBD2,-0.17154141,-0.11942579
SDF2,-0.17376189,-0.07692395
FLOT2,0.20537518,0.25874004
ERAL1,-0.38594222,-0.34016344
PRMT7,-0.2530396,-0.2409429
NIP7,-0.11879567,-0.10174072
TERF2,-0.09454901,-0.09393203
VPS4A,-0.14861204,-0.084872395
HSPA12B,0.21935986,0.13764355
ANKEF1,-0.2631261,-0.20403747
SCP2D1,0.0,0.00314817
PCED1A,-0.224969,-0.16350968
SNAP25,-1.1723574,-1.0835801
BTBD3,-0.2530383,-0.22955741
PCNA,-0.13128352,-0.045369983
NXT1,-0.21312179,-0.13340095
POLR3F,-0.011307054,0.074869305
RIN2,0.059552636,0.08496828
PTPRA,-0.14056577,-0.064045966
SSTR4,0.0,-0.0007354144
DAP3,-0.057888806,-0.015122272
RHBG,-0.06713478,-0.055907108
ATP1A4,-0.06934622,-0.04349424
NES,-0.37926623,-0.5436348
BCAN,-0.047860805,-0.037659913
CRP,1.4409739,1.809095
ARHGEF11,-0.20174672,-0.23744509
RAB25,-0.39963916,-0.42074072
HAPLN2,-0.032559395,-0.015037242
APCS,0.6798888,0.84188956
FCRL2,-0.051308423,-0.0062557906
DCAF8,-0.03686488,0.028324384
SYT11,0.19170341,0.10972414
IGHMBP2,-0.42447516,-0.38560742
ACY3,-0.0913368,0.05728765
ALDH3B2,-0.10887104,-0.11111609
TESMIN,-0.10842649,-0.18153736
MMACHC,0.11900258,0.20476604
DPH2,-0.5116308,-0.47867408
TOE1,-0.25603694,-0.20413485
NASP,-0.101947844,-0.10593088
MUTYH,-0.27917755,-0.29578742
CTNNBL1,-0.0875057,-0.09696206
LPIN3,-0.6845692,-0.7043968
ZSWIM3,-0.22976406,-0.23087259
RBM38,-0.42147166,-0.41762313
VSTM2L,-0.64653796,-0.65953696
OSER1,-0.115856834,-0.027010575
SERINC3,-0.10655169,-0.013988197
PPP1R3D,0.009952654,-0.0036238097
DMGDH,0.5243124,0.57781243
BHMT2,-0.014700552,-0.013191862
AP3B1,0.019471042,0.12339447
ZBED3,0.18884878,0.10449729
PATJ,-0.10863468,-0.007322617
KANK4,-0.9423347,-0.8384544
ANGPTL3,0.2266128,0.26305708
SYT4,-0.02929083,-0.002533881
SLC14A2,-0.03698825,-0.017280573
FBXO44,-0.1933012,-0.13671374
CASP9,-0.23518212,-0.20545003
NMUR2,0.004504613,0.0072624143
DCTN4,-0.043256238,0.074490756
PDE6A,-0.07966134,-0.011511177
ATP8A2,-0.036746137,0.03183388
MTUS2,-0.2331326,-0.1649467
ZMYM5,-0.0012171031,0.11302369
USPL1,0.06501055,0.14071847
XPO4,-0.08549333,-0.05026537
TPTE2,0.02254623,0.024360338
POMP,0.026772555,0.06570728
CDK8,-0.094190285,0.0032362714
