,orginal_var_exp,new_var_exp,dataset
0,9.809799588495647,23.33800735319164,Feaver
1,9.809799588495647,23.405145048118566,Feaver
2,9.809799588495647,23.421520532950606,Feaver
3,9.809799588495647,23.400136728554596,Feaver
4,9.809799588495647,23.42620395879274,Feaver
5,9.809799588495647,23.421778492656227,Feaver
6,9.809799588495647,23.414676582643356,Feaver
7,9.809799588495647,23.412206511987442,Feaver
8,9.809799588495647,23.428813555962734,Feaver
9,9.809799588495647,22.902336705042273,Feaver
10,9.809799588495647,23.357106869309973,Feaver
11,9.809799588495647,23.355936792650674,Feaver
12,9.809799588495647,23.402819665166113,Feaver
13,9.809799588495647,23.351072340407548,Feaver
14,9.809799588495647,23.38793184837408,Feaver
15,9.809799588495647,23.301325361258915,Feaver
16,9.809799588495647,23.416347050434087,Feaver
