"input","r","rho","MAE","RMSE"
"Full trained PLSR",0.894813245970221,0.892629793474118,0.511925807169807,0.647845025242105
"MPS Wm",0.458092765006253,0.468287942478862,1.21770281053467,1.47992235770177
"RNAval Wm",0.257493498027972,0.231200380956266,1.2930249649716,1.55588014382935
"MPS + RNAval Wm",0.456489566946842,0.460510696743844,1.21772991470998,1.478410397252
