"",p1,p2,p3,p4,p5,p6,p7,p8
PAFAH1B1,0.0082277407496084,-0.000563175906439604,-0.00609403653200714,0.00542251213607877,0.00256059651520944,-0.00402060416912986,0.00325062902462659,-0.00131207297300793
NOS2,0.00782628986199265,0.0042159819870333,0.0014743011338229,0.00199620012128704,0.000328088620470862,0.00261542429758553,-0.00560829307340808,-0.00610567763469415
DNAH9,0.00162149360182669,0.000354722762888145,0.000935538426775428,0.000808194784383461,0.00276255892494043,0.00146932616495275,0.00297874565598247,-0.000677105333877203
SLC13A2,-0.00337552859217639,-0.0060159884164772,-0.00331632800969949,-0.000526524879276689,-0.0119296381766888,-0.00243348030850645,0.00349522745523177,0.00619428831465713
GAS7,0.0158119063437327,-0.00719158722823237,-0.00199719002533286,0.0128754921311258,0.0120452597385816,0.017803676312844,-0.00778495684464818,-0.0117034426481874
TRAPPC6A,0.000481002701151026,-0.00514259934731058,0.0105402242862805,0.00699964744757781,-0.00733985734833142,-0.00536523961245537,0.0122933754563123,0.014171575160779
MATK,0.00760072353459236,-0.00419836913896215,0.00823348888890089,0.0173572734696434,0.0127685151880558,0.00787736906868518,-0.0141081889067319,-0.00530999702972254
CD79B,-0.00147393673619156,-0.0154354827661967,-0.00104998846024684,0.00459491495865735,-0.000267915843222547,0.00812366827078314,-0.00310790148328424,0.0127239692955115
SCN4A,0.0020107645197945,-0.00511903847141048,-0.000156951514791546,-0.00351266226646082,-0.00326457144644628,0.00267088093526179,-0.00655399160836897,0.000531036075913811
ST7L,0.00503156267010519,-0.00362514104494993,-0.00188200742182095,0.00700777231666452,0.00685882465844578,-0.00790102369237919,-0.0110364020144889,-0.00494064537926013
TKTL1,0.000974940040181488,-0.00172134999944429,-0.000655464744265948,-0.00134018687402407,-0.000315077306476406,-0.000579490060082177,-0.00418114322397018,0.000733893894320115
PAX6,0.000737251989242,0.000613413638715519,0.00182444493711958,-0.00101530614440459,0.0019086547907446,-0.000363877486401678,-0.00502725805391882,0.000199349036543938
RPUSD1,0.00534779315349146,-0.00348743478286595,0.0104319321346232,0.00659163421171462,-0.00990838025823881,-0.00481264580355267,0.00352724753489045,0.00142280650054178
RHBDF1,0.0226617522297741,0.00210882780684731,0.0115740311834318,-0.0010004976306903,0.00525062416615324,0.00161254636870629,0.00196647247619591,-0.00232567721204702
LUC7L,0.00898414828246022,-0.00387478318473874,0.0155683554531982,-0.0110942366999916,0.0150021134306674,-0.0186276023390588,0.00511385105484619,-0.00530082306067736
