"input","phenotype","r","rho","MAE","RMSE"
"Full trained PLSR","Fibrosis",0.846006626478303,0.850765986156465,0.522048567200145,0.65310423348541
"Full trained PLSR","NAS",0.94361986546214,0.934493600791771,0.501803047139469,0.6425858169988
"MPS Wm","Fibrosis",0.509500333644019,0.502131203824362,0.990512404678108,1.16147846756287
"MPS Wm","NAS",0.406685196368488,0.434444681133361,1.44489321639123,1.79836624784067
"RNAval Wm","Fibrosis",0.19642251924545,0.176487086084636,1.0390481415845,1.2132144828246
"RNAval Wm","NAS",0.318564476810494,0.285913675827895,1.54700178835871,1.89854580483409
"MPS + RNAval Wm","Fibrosis",0.499776931921145,0.484749171059646,0.991858097346099,1.16198306259035
"MPS + RNAval Wm","NAS",0.41320220197254,0.436272222428042,1.44360173207385,1.79483773191364
